Month,Percentage,City,State,Percentage of Potentially Available Beds Needed,Percentage of Potentially Available ICU Beds Needed
6,0.4,Marshfield,WI,3.39 ,7.25 
6,0.4,Mason City,IA,1.63 ,10.75 
6,0.4,McAllen,TX,1.90 ,2.32 
6,0.4,Medford,OR,3.30 ,9.24 
6,0.4,Melrose Park,IL,2.83 ,5.15 
6,0.4,Memphis,TN,2.13 ,4.73 
6,0.4,Meridian,MS,1.07 ,4.76 
6,0.4,Mesa,AZ,4.59 ,6.75 
6,0.4,Metairie,LA,3.25 ,5.69 
6,0.4,Miami,FL,2.52 ,5.20 
6,0.4,Milwaukee,WI,3.08 ,4.32 
6,0.4,Minneapolis,MN,3.02 ,7.18 
6,0.4,Minot,ND,0.95 ,9.36 
6,0.4,Missoula,MT,2.45 ,6.66 
6,0.4,Mobile,AL,2.63 ,4.12 
6,0.4,Modesto,CA,3.86 ,9.86 
6,0.4,Monroe,LA,1.40 ,3.58 
6,0.4,Montgomery,AL,2.37 ,4.47 
6,0.4,Morgantown,WV,1.79 ,4.12 
6,0.4,Morristown,NJ,3.61 ,9.46 
6,0.4,Muncie,IN,2.86 ,7.14 
6,0.4,Munster,IN,1.24 ,3.85 
6,0.4,Muskegon,MI,3.12 ,5.24 
6,0.4,Napa,CA,4.09 ,4.91 
6,0.4,Nashville,TN,2.34 ,3.75 
6,0.4,Neenah,WI,3.02 ,6.66 
6,0.4,New Brunswick,NJ,3.34 ,5.87 
6,0.4,New Haven,CT,3.83 ,7.06 
6,0.4,New Orleans,LA,1.81 ,3.30 
6,0.4,Newark,NJ,2.89 ,4.77 
6,0.4,Newport News,VA,4.31 ,5.66 
6,0.4,Norfolk,VA,3.38 ,6.68 
6,0.4,Ocala,FL,4.61 ,6.56 
6,0.4,Odessa,TX,1.99 ,4.64 
6,0.4,Ogden,UT,3.45 ,5.33 
6,0.4,Oklahoma City,OK,2.07 ,4.39 
6,0.4,Olympia,WA,4.94 ,7.30 
6,0.4,Omaha,NE,1.95 ,3.81 
6,0.4,Orange County,CA,3.64 ,6.34 
6,0.4,Orlando,FL,2.66 ,4.47 
6,0.4,Ormond Beach,FL,3.24 ,4.15 
6,0.4,Owensboro,KY,2.24 ,5.52 
6,0.4,Oxford,MS,1.10 ,6.32 
6,0.4,Paducah,KY,1.45 ,4.18 
6,0.4,Palm Springs/Rancho Mira,CA,2.60 ,8.87 
6,0.4,Paterson,NJ,2.04 ,7.73 
6,0.4,Pensacola,FL,2.58 ,4.81 
6,0.4,Peoria,IL,2.23 ,5.08 
6,0.4,Petoskey,MI,2.50 ,4.07 
6,0.4,Philadelphia,PA,2.58 ,4.40 
6,0.4,Phoenix,AZ,3.21 ,4.80 
6,0.4,Pittsburgh,PA,2.42 ,3.86 
6,0.4,Pontiac,MI,3.39 ,6.22 
6,0.4,Portland,ME,3.05 ,7.14 
6,0.4,Portland,OR,3.82 ,5.61 
6,0.4,Providence,RI,3.73 ,6.29 
6,0.4,Provo,UT,3.53 ,5.56 
6,0.4,Pueblo,CO,1.84 ,10.12 
6,0.4,Raleigh,NC,3.91 ,7.25 
6,0.4,Rapid City,SD,1.60 ,6.42 
6,0.4,Reading,PA,2.77 ,7.60 
6,0.4,Redding,CA,2.92 ,4.14 
6,0.4,Reno,NV,2.67 ,2.76 
6,0.4,Richmond,VA,2.62 ,5.49 
6,0.4,Ridgewood,NJ,3.46 ,6.86 
6,0.4,Roanoke,VA,2.31 ,3.66 
6,0.4,Rochester,MN,1.48 ,2.39 
6,0.4,Rochester,NY,2.52 ,6.66 
6,0.4,Rockford,IL,3.20 ,4.59 
6,0.4,Rome,GA,2.58 ,5.98 
6,0.4,Royal Oak,MI,1.71 ,3.21 
6,0.4,Sacramento,CA,4.05 ,5.91 
6,0.4,Saginaw,MI,1.67 ,4.57 
6,0.4,Salem,OR,4.43 ,8.30 
6,0.4,Salinas,CA,3.24 ,6.56 
6,0.4,Salisbury,MD,5.45 ,11.12 
6,0.4,Salt Lake City,UT,2.93 ,4.47 
6,0.4,San Angelo,TX,1.55 ,5.88 
6,0.4,San Antonio,TX,2.77 ,5.32 
6,0.4,San Bernardino,CA,3.36 ,6.00 
6,0.4,San Diego,CA,4.06 ,6.02 
6,0.4,San Francisco,CA,2.87 ,4.70 
6,0.4,San Jose,CA,4.61 ,6.90 
6,0.4,San Luis Obispo,CA,4.06 ,5.95 
6,0.4,San Mateo County,CA,3.69 ,5.57 
6,0.4,Santa Barbara,CA,3.61 ,7.24 
6,0.4,Santa Cruz,CA,4.78 ,19.14 
6,0.4,Santa Rosa,CA,2.87 ,7.16 
6,0.4,Sarasota,FL,2.40 ,4.66 
6,0.4,Savannah,GA,2.90 ,7.74 
6,0.4,Sayre,PA,2.16 ,4.27 
6,0.4,Scranton,PA,2.62 ,6.69 
6,0.4,Seattle,WA,4.40 ,6.60 
6,0.4,Shreveport,LA,1.67 ,3.26 
6,0.4,Sioux City,IA,1.73 ,5.80 
6,0.4,Sioux Falls,SD,1.18 ,9.57 
6,0.4,Slidell,LA,1.92 ,1.78 
6,0.4,South Bend,IN,3.30 ,5.95 
6,0.4,Spartanburg,SC,3.10 ,3.86 
6,0.4,Spokane,WA,2.55 ,5.99 
6,0.4,Springdale,AR,2.74 ,4.95 
6,0.4,Springfield,IL,2.00 ,5.40 
6,0.4,Springfield,MA,3.21 ,5.42 
6,0.4,Springfield,MO,2.70 ,5.87 
6,0.4,St. Cloud,MN,2.00 ,7.81 
6,0.4,St. Joseph,MI,1.98 ,9.79 
6,0.4,St. Louis,MO,2.05 ,3.71 
6,0.4,St. Paul,MN,4.31 ,8.65 
6,0.4,St. Petersburg,FL,1.99 ,5.24 
6,0.4,Stockton,CA,4.09 ,6.67 
6,0.4,Sun City,AZ,2.43 ,3.54 
6,0.4,Syracuse,NY,2.31 ,6.26 
6,0.4,Tacoma,WA,4.03 ,5.81 
6,0.4,Takoma Park,MD,5.84 ,9.17 
6,0.4,Tallahassee,FL,2.59 ,6.45 
6,0.4,Tampa,FL,2.45 ,4.09 
6,0.4,Temple,TX,3.24 ,4.41 
6,0.4,Terre Haute,IN,2.32 ,3.38 
6,0.4,Texarkana,AR,2.15 ,3.20 
6,0.4,Toledo,OH,2.25 ,2.92 
6,0.4,Topeka,KS,2.07 ,5.28 
6,0.4,Traverse City,MI,2.08 ,14.47 
6,0.4,Tucson,AZ,2.85 ,4.90 
6,0.4,Tulsa,OK,2.00 ,3.99 
6,0.4,Tupelo,MS,1.40 ,4.47 
6,0.4,Tuscaloosa,AL,1.74 ,2.81 
6,0.4,Tyler,TX,2.64 ,3.07 
6,0.4,Urbana,IL,2.63 ,5.60 
6,0.4,Ventura,CA,5.44 ,6.21 
6,0.4,Victoria,TX,1.40 ,4.41 
6,0.4,Waco,TX,3.01 ,7.62 
6,0.4,Washington,DC,3.61 ,6.24 
6,0.4,Waterloo,IA,1.87 ,7.32 
6,0.4,Wausau,WI,3.08 ,3.20 
6,0.4,White Plains,NY,2.80 ,5.67 
6,0.4,Wichita Falls,TX,2.12 ,11.69 
6,0.4,Wichita,KS,1.56 ,3.59 
6,0.4,Wilkes-Barre,PA,2.46 ,3.92 
6,0.4,Wilmington,DE,2.89 ,5.09 
6,0.4,Wilmington,NC,3.48 ,8.91 
6,0.4,Winchester,VA,2.79 ,8.06 
6,0.4,Winston-Salem,NC,2.72 ,4.10 
6,0.4,Worcester,MA,3.71 ,7.31 
6,0.4,Yakima,WA,4.29 ,5.82 
6,0.4,York,PA,3.40 ,9.74 
6,0.4,Youngstown,OH,2.68 ,5.58 
6,0.6,Akron,OH,4.89 ,7.09 
6,0.6,Alameda County,CA,6.41 ,10.56 
6,0.6,Albany,GA,2.84 ,6.56 
6,0.6,Albany,NY,3.90 ,8.77 
6,0.6,Albuquerque,NM,5.60 ,9.02 
6,0.6,Alexandria,LA,2.81 ,12.90 
6,0.6,Allentown,PA,3.57 ,7.40 
6,0.6,Altoona,PA,5.07 ,10.02 
6,0.6,Amarillo,TX,2.89 ,4.31 
6,0.6,Anchorage,AK,4.23 ,10.01 
6,0.6,Ann Arbor,MI,4.77 ,7.53 
6,0.6,Appleton,WI,6.37 ,8.56 
6,0.6,Arlington,VA,7.56 ,10.40 
6,0.6,Asheville,NC,4.54 ,6.90 
6,0.6,Atlanta,GA,5.12 ,8.46 
6,0.6,Augusta,GA,2.98 ,4.28 
6,0.6,Aurora,IL,4.92 ,10.40 
6,0.6,Austin,TX,6.55 ,9.30 
6,0.6,Bakersfield,CA,4.42 ,10.33 
6,0.6,Baltimore,MD,3.80 ,6.26 
6,0.6,Bangor,ME,3.64 ,9.39 
6,0.6,Baton Rouge,LA,3.04 ,7.11 
6,0.6,Beaumont,TX,4.48 ,8.13 
6,0.6,Bend,OR,5.45 ,13.33 
6,0.6,Billings,MT,2.38 ,8.15 
6,0.6,Binghamton,NY,3.55 ,15.26 
6,0.6,Birmingham,AL,2.96 ,4.84 
6,0.6,Bismarck,ND,2.21 ,5.39 
6,0.6,Bloomington,IL,4.43 ,12.13 
6,0.6,Blue Island,IL,4.26 ,5.69 
6,0.6,Boise,ID,4.46 ,8.91 
6,0.6,Boston,MA,5.25 ,9.05 
6,0.6,Boulder,CO,4.69 ,6.90 
6,0.6,Bradenton,FL,4.02 ,7.03 
6,0.6,Bridgeport,CT,5.20 ,9.73 
6,0.6,Bronx,NY,3.72 ,9.49 
6,0.6,Bryan,TX,4.19 ,7.98 
6,0.6,Buffalo,NY,3.09 ,9.56 
6,0.6,Burlington,VT,3.75 ,10.36 
6,0.6,Camden,NJ,4.23 ,8.19 
6,0.6,Canton,OH,3.91 ,6.02 
6,0.6,Cape Girardeau,MO,2.72 ,6.05 
6,0.6,Casper,WY,2.54 ,10.69 
6,0.6,Cedar Rapids,IA,3.39 ,12.91 
6,0.6,Charleston,SC,3.86 ,7.79 
6,0.6,Charleston,WV,2.92 ,6.42 
6,0.6,Charlotte,NC,5.28 ,6.98 
6,0.6,Charlottesville,VA,4.57 ,9.18 
6,0.6,Chattanooga,TN,3.70 ,6.78 
6,0.6,Chicago,IL,3.06 ,5.73 
6,0.6,Chico,CA,5.88 ,12.00 
6,0.6,Cincinnati,OH,4.03 ,6.15 
6,0.6,Clearwater,FL,3.32 ,8.48 
6,0.6,Cleveland,OH,2.74 ,4.96 
6,0.6,Colorado Springs,CO,6.02 ,11.22 
6,0.6,Columbia,MO,3.36 ,7.36 
6,0.6,Columbia,SC,3.99 ,6.37 
6,0.6,Columbus,GA,2.81 ,9.13 
6,0.6,Columbus,OH,4.32 ,9.34 
6,0.6,Contra Costa County,CA,5.85 ,10.61 
6,0.6,Corpus Christi,TX,4.90 ,7.70 
6,0.6,Covington,KY,4.88 ,8.71 
6,0.6,Dallas,TX,4.49 ,7.70 
6,0.6,Danville,PA,3.71 ,8.58 
6,0.6,Davenport,IA,2.78 ,6.90 
6,0.6,Dayton,OH,4.93 ,7.88 
6,0.6,Dearborn,MI,3.36 ,4.85 
6,0.6,Denver,CO,4.97 ,7.06 
6,0.6,Des Moines,IA,3.67 ,12.48 
6,0.6,Detroit,MI,4.02 ,7.02 
6,0.6,Dothan,AL,2.67 ,7.56 
6,0.6,Dubuque,IA,2.85 ,17.92 
6,0.6,Duluth,MN,2.55 ,3.52 
6,0.6,Durham,NC,3.27 ,3.86 
6,0.6,East Long Island,NY,5.72 ,11.79 
6,0.6,El Paso,TX,4.88 ,9.11 
6,0.6,Elgin,IL,5.86 ,10.23 
6,0.6,Elmira,NY,3.09 ,8.78 
6,0.6,Elyria,OH,5.07 ,8.79 
6,0.6,Erie,PA,3.65 ,7.68 
6,0.6,Eugene,OR,6.31 ,11.15 
6,0.6,Evanston,IL,4.47 ,5.65 
6,0.6,Evansville,IN,2.78 ,4.00 
6,0.6,Everett,WA,7.12 ,17.67 
6,0.6,Fargo/Moorhead MN,ND,2.78 ,6.90 
6,0.6,Flint,MI,3.91 ,7.13 
6,0.6,Florence,SC,2.80 ,3.50 
6,0.6,Fort Collins,CO,4.53 ,22.77 
6,0.6,Fort Lauderdale,FL,4.08 ,7.63 
6,0.6,Fort Myers,FL,4.58 ,12.27 
6,0.6,Fort Smith,AR,3.36 ,7.32 
6,0.6,Fort Wayne,IN,3.13 ,4.56 
6,0.6,Fort Worth,TX,5.17 ,8.86 
6,0.6,Fresno,CA,6.07 ,11.28 
6,0.6,Gainesville,FL,3.38 ,4.33 
6,0.6,Gary,IN,3.17 ,5.20 
6,0.6,Grand Forks,ND,1.64 ,9.75 
6,0.6,Grand Junction,CO,4.47 ,9.15 
6,0.6,Grand Rapids,MI,4.56 ,10.30 
6,0.6,Great Falls,MT,1.49 ,5.44 
6,0.6,Greeley,CO,4.12 ,9.72 
6,0.6,Green Bay,WI,4.57 ,9.62 
6,0.6,Greensboro,NC,5.33 ,10.02 
6,0.6,Greenville,NC,4.36 ,5.41 
6,0.6,Greenville,SC,4.14 ,8.39 
6,0.6,Gulfport,MS,2.95 ,4.70 
6,0.6,Hackensack,NJ,3.58 ,13.69 
6,0.6,Harlingen,TX,4.13 ,9.05 
6,0.6,Harrisburg,PA,4.16 ,11.20 
6,0.6,Hartford,CT,5.56 ,9.91 
6,0.6,Hattiesburg,MS,1.95 ,7.54 
6,0.6,Hickory,NC,4.53 ,9.42 
6,0.6,Hinsdale,IL,4.42 ,5.22 
6,0.6,Honolulu,HI,5.48 ,13.96 
6,0.6,Houma,LA,3.09 ,7.47 
6,0.6,Houston,TX,4.49 ,7.38 
6,0.6,Hudson,FL,4.09 ,6.97 
6,0.6,Huntington,WV,2.41 ,4.54 
6,0.6,Huntsville,AL,3.56 ,5.92 
6,0.6,Idaho Falls,ID,3.67 ,8.74 
6,0.6,Indianapolis,IN,3.46 ,5.38 
6,0.6,Iowa City,IA,2.38 ,4.71 
6,0.6,Jackson,MS,2.07 ,5.13 
6,0.6,Jackson,TN,2.92 ,5.52 
6,0.6,Jacksonville,FL,3.39 ,5.99 
6,0.6,Johnson City,TN,3.06 ,6.56 
6,0.6,Johnstown,PA,2.52 ,9.37 
6,0.6,Joliet,IL,4.19 ,9.01 
6,0.6,Jonesboro,AR,2.26 ,6.76 
6,0.6,Joplin,MO,3.08 ,5.40 
6,0.6,Kalamazoo,MI,4.06 ,11.76 
6,0.6,Kansas City,MO,3.45 ,6.42 
6,0.6,Kettering,OH,4.23 ,6.83 
6,0.6,Kingsport,TN,2.98 ,5.48 
6,0.6,Knoxville,TN,4.27 ,11.04 
6,0.6,La Crosse,WI,5.03 ,8.41 
6,0.6,Lafayette,IN,5.04 ,14.42 
6,0.6,Lafayette,LA,3.27 ,6.17 
6,0.6,Lake Charles,LA,2.78 ,6.02 
6,0.6,Lakeland,FL,3.77 ,7.38 
6,0.6,Lancaster,PA,5.74 ,14.01 
6,0.6,Lansing,MI,4.49 ,5.63 
6,0.6,Las Vegas,NV,5.40 ,6.59 
6,0.6,Lawton,OK,2.35 ,5.04 
6,0.6,Lebanon,NH,4.29 ,7.54 
6,0.6,Lexington,KY,2.79 ,5.71 
6,0.6,Lincoln,NE,2.51 ,11.09 
6,0.6,Little Rock,AR,2.90 ,6.37 
6,0.6,Longview,TX,8.40 ,8.88 
6,0.6,Los Angeles,CA,4.96 ,8.14 
6,0.6,Louisville,KY,3.95 ,7.44 
6,0.6,Lubbock,TX,3.29 ,5.00 
6,0.6,Lynchburg,VA,2.48 ,10.92 
6,0.6,Macon,GA,3.00 ,6.86 
6,0.6,Madison,WI,4.49 ,8.14 
6,0.6,Manchester,NH,5.47 ,13.59 
6,0.6,Manhattan,NY,3.85 ,7.19 
6,0.6,Marquette,MI,3.11 ,9.41 
6,0.6,Marshfield,WI,5.09 ,10.88 
6,0.6,Mason City,IA,2.44 ,16.08 
6,0.6,McAllen,TX,2.85 ,3.47 
6,0.6,Medford,OR,4.95 ,13.88 
6,0.6,Melrose Park,IL,4.25 ,7.73 
6,0.6,Memphis,TN,3.19 ,7.09 
6,0.6,Meridian,MS,1.60 ,7.16 
6,0.6,Mesa,AZ,6.89 ,10.12 
6,0.6,Metairie,LA,4.87 ,8.55 
6,0.6,Miami,FL,3.78 ,7.79 
6,0.6,Milwaukee,WI,4.62 ,6.47 
6,0.6,Minneapolis,MN,4.54 ,10.76 
6,0.6,Minot,ND,1.43 ,14.07 
6,0.6,Missoula,MT,3.67 ,9.98 
6,0.6,Mobile,AL,3.95 ,6.18 
6,0.6,Modesto,CA,5.79 ,14.80 
6,0.6,Monroe,LA,2.11 ,5.36 
6,0.6,Montgomery,AL,3.56 ,6.71 
6,0.6,Morgantown,WV,2.69 ,6.19 
6,0.6,Morristown,NJ,5.42 ,14.19 
6,0.6,Muncie,IN,4.28 ,10.73 
6,0.6,Munster,IN,1.86 ,5.78 
6,0.6,Muskegon,MI,4.68 ,7.86 
6,0.6,Napa,CA,6.13 ,7.36 
6,0.6,Nashville,TN,3.50 ,5.63 
6,0.6,Neenah,WI,4.54 ,9.97 
6,0.6,New Brunswick,NJ,5.02 ,8.81 
6,0.6,New Haven,CT,5.75 ,10.59 
6,0.6,New Orleans,LA,2.72 ,4.96 
6,0.6,Newark,NJ,4.34 ,7.15 
6,0.6,Newport News,VA,6.47 ,8.49 
6,0.6,Norfolk,VA,5.08 ,10.01 
6,0.6,Ocala,FL,6.92 ,9.84 
6,0.6,Odessa,TX,2.98 ,6.97 
6,0.6,Ogden,UT,5.17 ,8.00 
6,0.6,Oklahoma City,OK,3.10 ,6.58 
6,0.6,Olympia,WA,7.41 ,10.93 
6,0.6,Omaha,NE,2.93 ,5.72 
6,0.6,Orange County,CA,5.46 ,9.51 
6,0.6,Orlando,FL,3.99 ,6.71 
6,0.6,Ormond Beach,FL,4.85 ,6.24 
6,0.6,Owensboro,KY,3.35 ,8.28 
6,0.6,Oxford,MS,1.65 ,9.45 
6,0.6,Paducah,KY,2.18 ,6.28 
6,0.6,Palm Springs/Rancho Mira,CA,3.90 ,13.30 
6,0.6,Paterson,NJ,3.07 ,11.60 
6,0.6,Pensacola,FL,3.87 ,7.22 
6,0.6,Peoria,IL,3.35 ,7.62 
6,0.6,Petoskey,MI,3.76 ,6.09 
6,0.6,Philadelphia,PA,3.87 ,6.60 
6,0.6,Phoenix,AZ,4.82 ,7.20 
6,0.6,Pittsburgh,PA,3.63 ,5.79 
6,0.6,Pontiac,MI,5.09 ,9.33 
6,0.6,Portland,ME,4.58 ,10.70 
6,0.6,Portland,OR,5.73 ,8.41 
6,0.6,Providence,RI,5.60 ,9.43 
6,0.6,Provo,UT,5.30 ,8.34 
6,0.6,Pueblo,CO,2.76 ,15.24 
6,0.6,Raleigh,NC,5.86 ,10.87 
6,0.6,Rapid City,SD,2.40 ,9.64 
6,0.6,Reading,PA,4.16 ,11.39 
6,0.6,Redding,CA,4.38 ,6.20 
6,0.6,Reno,NV,4.00 ,4.14 
6,0.6,Richmond,VA,3.93 ,8.24 
6,0.6,Ridgewood,NJ,5.19 ,10.29 
6,0.6,Roanoke,VA,3.46 ,5.49 
6,0.6,Rochester,MN,2.23 ,3.59 
6,0.6,Rochester,NY,3.78 ,9.99 
6,0.6,Rockford,IL,4.81 ,6.87 
6,0.6,Rome,GA,3.87 ,8.96 
6,0.6,Royal Oak,MI,2.57 ,4.81 
6,0.6,Sacramento,CA,6.08 ,8.87 
6,0.6,Saginaw,MI,2.50 ,6.85 
6,0.6,Salem,OR,6.64 ,12.43 
6,0.6,Salinas,CA,4.86 ,9.83 
6,0.6,Salisbury,MD,8.17 ,16.67 
6,0.6,Salt Lake City,UT,4.39 ,6.70 
6,0.6,San Angelo,TX,2.33 ,8.81 
6,0.6,San Antonio,TX,4.15 ,7.98 
6,0.6,San Bernardino,CA,5.04 ,9.00 
6,0.6,San Diego,CA,6.09 ,9.03 
6,0.6,San Francisco,CA,4.30 ,7.06 
6,0.6,San Jose,CA,6.91 ,10.36 
6,0.6,San Luis Obispo,CA,6.09 ,8.93 
6,0.6,San Mateo County,CA,5.54 ,8.35 
6,0.6,Santa Barbara,CA,5.42 ,10.86 
6,0.6,Santa Cruz,CA,7.17 ,28.79 
6,0.6,Santa Rosa,CA,4.31 ,10.74 
6,0.6,Sarasota,FL,3.60 ,6.98 
6,0.6,Savannah,GA,4.34 ,11.61 
6,0.6,Sayre,PA,3.24 ,6.40 
6,0.6,Scranton,PA,3.92 ,10.02 
6,0.6,Seattle,WA,6.59 ,9.90 
6,0.6,Shreveport,LA,2.51 ,4.89 
6,0.6,Sioux City,IA,2.59 ,8.73 
6,0.6,Sioux Falls,SD,1.78 ,14.35 
6,0.6,Slidell,LA,2.88 ,2.67 
6,0.6,South Bend,IN,4.95 ,8.94 
6,0.6,Spartanburg,SC,4.65 ,5.80 
6,0.6,Spokane,WA,3.83 ,8.99 
6,0.6,Springdale,AR,4.11 ,7.42 
6,0.6,Springfield,IL,3.00 ,8.11 
6,0.6,Springfield,MA,4.82 ,8.13 
6,0.6,Springfield,MO,4.05 ,8.81 
6,0.6,St. Cloud,MN,3.00 ,11.71 
6,0.6,St. Joseph,MI,2.97 ,14.71 
6,0.6,St. Louis,MO,3.07 ,5.57 
6,0.6,St. Paul,MN,6.47 ,12.97 
6,0.6,St. Petersburg,FL,2.99 ,7.86 
6,0.6,Stockton,CA,6.14 ,10.01 
6,0.6,Sun City,AZ,3.65 ,5.32 
6,0.6,Syracuse,NY,3.47 ,9.39 
6,0.6,Tacoma,WA,6.04 ,8.72 
6,0.6,Takoma Park,MD,8.76 ,13.76 
6,0.6,Tallahassee,FL,3.89 ,9.67 
6,0.6,Tampa,FL,3.67 ,6.13 
6,0.6,Temple,TX,4.86 ,6.60 
6,0.6,Terre Haute,IN,3.48 ,5.08 
6,0.6,Texarkana,AR,3.22 ,4.80 
6,0.6,Toledo,OH,3.38 ,4.38 
6,0.6,Topeka,KS,3.10 ,7.91 
6,0.6,Traverse City,MI,3.12 ,21.65 
6,0.6,Tucson,AZ,4.28 ,7.34 
6,0.6,Tulsa,OK,3.00 ,5.98 
6,0.6,Tupelo,MS,2.10 ,6.70 
6,0.6,Tuscaloosa,AL,2.61 ,4.21 
6,0.6,Tyler,TX,3.97 ,4.60 
6,0.6,Urbana,IL,3.94 ,8.40 
6,0.6,Ventura,CA,8.16 ,9.31 
6,0.6,Victoria,TX,2.10 ,6.63 
6,0.6,Waco,TX,4.52 ,11.43 
6,0.6,Washington,DC,5.41 ,9.36 
6,0.6,Waterloo,IA,2.81 ,11.00 
6,0.6,Wausau,WI,4.62 ,4.80 
6,0.6,White Plains,NY,4.20 ,8.51 
6,0.6,Wichita Falls,TX,3.18 ,17.56 
6,0.6,Wichita,KS,2.34 ,5.38 
6,0.6,Wilkes-Barre,PA,3.69 ,5.89 
6,0.6,Wilmington,DE,4.33 ,7.63 
6,0.6,Wilmington,NC,5.21 ,13.35 
6,0.6,Winchester,VA,4.18 ,12.08 
6,0.6,Winston-Salem,NC,4.09 ,6.16 
6,0.6,Worcester,MA,5.56 ,10.96 
6,0.6,Yakima,WA,6.44 ,8.73 
6,0.6,York,PA,5.10 ,14.63 
6,0.6,Youngstown,OH,4.03 ,8.37 
12,0.2,Akron,OH,0.81 ,1.18 
12,0.2,Alameda County,CA,1.07 ,1.76 
12,0.2,Albany,GA,0.47 ,1.09 
12,0.2,Albany,NY,0.65 ,1.46 
12,0.2,Albuquerque,NM,0.93 ,1.50 
12,0.2,Alexandria,LA,0.47 ,2.16 
12,0.2,Allentown,PA,0.59 ,1.24 
12,0.2,Altoona,PA,0.85 ,1.66 
12,0.2,Amarillo,TX,0.48 ,0.72 
12,0.2,Anchorage,AK,0.71 ,1.67 
12,0.2,Ann Arbor,MI,0.79 ,1.25 
12,0.2,Appleton,WI,1.06 ,1.43 
12,0.2,Arlington,VA,1.26 ,1.73 
12,0.2,Asheville,NC,0.76 ,1.15 
