State,City,Percentage,Projected_Infected,Projected_Hospitalized,Projected_ICUed
NY,Manhattan,0.4,1669375,344744,73357
MI,Marquette,0.4,63711,13603,3011
WI,Marshfield,0.4,118233,25154,5546
IA,Mason City,0.4,40130,8644,1933
TX,McAllen,0.4,194632,39793,8363
OR,Medford,0.4,140462,30319,6796
IL,Melrose Park,0.4,412604,85433,18238
TN,Memphis,0.4,546479,113191,24174
MS,Meridian,0.4,59224,12481,2722
AZ,Mesa,0.4,454248,94391,20238
LA,Metairie,0.4,146538,30738,6666
FL,Miami,0.4,1096592,228356,49088
WI,Milwaukee,0.4,831682,172484,36894
MN,Minneapolis,0.4,1028142,213521,45749
ND,Minot,0.4,44974,9279,1972
MT,Missoula,0.4,126036,26770,5891
AL,Mobile,0.4,259583,54459,11812
CA,Modesto,0.4,272390,56297,11991
LA,Monroe,0.4,81915,17125,3698
AL,Montgomery,0.4,144345,30010,6439
WV,Morgantown,0.4,131715,27639,5996
NJ,Morristown,0.4,318057,66420,14327
IN,Muncie,0.4,51521,10840,2359
IN,Munster,0.4,95937,19947,4280
MI,Muskegon,0.4,83803,17657,3849
CA,Napa,0.4,87401,18644,4123
TN,Nashville,0.4,913065,189100,40380
WI,Neenah,0.4,76745,16098,3491
NJ,New Brunswick,0.4,338157,70078,14976
CT,New Haven,0.4,470829,98733,21403
LA,New Orleans,0.4,221730,45626,9666
NJ,Newark,0.4,493416,101276,21388
VA,Newport News,0.4,178970,37401,8074
VA,Norfolk,0.4,409400,84405,17923
FL,Ocala,0.4,179917,41216,9835
TX,Odessa,0.4,113501,23206,4877
UT,Ogden,0.4,142400,29028,6078
OK,Oklahoma City,0.4,596594,123956,26574
WA,Olympia,0.4,128062,27031,5905
NE,Omaha,0.4,404398,84248,18120
CA,Orange County,0.4,1065024,219689,46681
FL,Orlando,0.4,1252374,265089,58101
FL,Ormond Beach,0.4,135552,29890,6858
KY,Owensboro,0.4,44815,9461,2067
MS,Oxford,0.4,46742,9716,2084
KY,Paducah,0.4,116091,24733,5462
CA,Palm Springs/Rancho Mira,0.4,122390,26838,6121
NJ,Paterson,0.4,124310,25902,5572
FL,Pensacola,0.4,254742,53360,11552
IL,Peoria,0.4,187628,39681,8688
MI,Petoskey,0.4,57051,12277,2742
PA,Philadelphia,0.4,1332550,277202,59513
AZ,Phoenix,0.4,1104436,230084,49485
PA,Pittsburgh,0.4,929669,197232,43344
MI,Pontiac,0.4,150774,31344,6724
ME,Portland,0.4,350492,73985,16164
OR,Portland,0.4,886236,184078,39447
RI,Providence,0.4,394681,82313,17727
UT,Provo,0.4,174790,35208,7259
CO,Pueblo,0.4,55420,11763,2586
NC,Raleigh,0.4,668017,137262,29026
SD,Rapid City,0.4,69436,14614,3181
PA,Reading,0.4,186767,39277,8543
CA,Redding,0.4,110472,23444,5154
NV,Reno,0.4,242381,50907,11056
VA,Richmond,0.4,563630,117129,25116
NJ,Ridgewood,0.4,135493,28235,6074
VA,Roanoke,0.4,227896,48160,10536
MN,Rochester,0.4,128147,27066,5917
NY,Rochester,0.4,414600,86815,18787
IL,Rockford,0.4,220852,46447,10103
GA,Rome,0.4,88768,18603,4030
MI,Royal Oak,0.4,222479,46736,10153
CA,Sacramento,0.4,830656,173140,37261
MI,Saginaw,0.4,195930,41948,9316
OR,Salem,0.4,102064,21326,4603
CA,Salinas,0.4,121299,25017,5315
MD,Salisbury,0.4,148605,32045,7174
UT,Salt Lake City,0.4,621075,127494,26929
TX,San Angelo,0.4,50434,10574,2292
TX,San Antonio,0.4,876706,180868,38439
CA,San Bernardino,0.4,962756,196869,41379
CA,San Diego,0.4,1202227,247312,52373
CA,San Francisco,0.4,509101,105712,22645
CA,San Jose,0.4,582643,119616,25267
CA,San Luis Obispo,0.4,85481,18026,3934
CA,San Mateo County,0.4,266750,55554,11944
CA,Santa Barbara,0.4,143931,29899,6408
CA,Santa Cruz,0.4,91765,18940,4027
CA,Santa Rosa,0.4,161154,33980,7414
FL,Sarasota,0.4,149984,34455,8244
GA,Savannah,0.4,280769,58653,12657
PA,Sayre,0.4,61236,13040,2878
PA,Scranton,0.4,101527,21701,4810
WA,Seattle,0.4,968487,200017,42565
LA,Shreveport,0.4,212401,44508,9640
IA,Sioux City,0.4,78274,16451,3576
SD,Sioux Falls,0.4,241425,50794,11054
LA,Slidell,0.4,59797,12602,2748
IN,South Bend,0.4,215816,45112,9742
SC,Spartanburg,0.4,120396,25321,5508
WA,Spokane,0.4,484224,101564,22022
AR,Springdale,0.4,175029,36206,7720
IL,Springfield,0.4,254985,53997,11841
MA,Springfield,0.4,240122,50300,10890
MO,Springfield,0.4,275385,58662,12952
MN,St. Cloud,0.4,81236,16905,3631
MI,St. Joseph,0.4,44094,9368,2062
MO,St. Louis,0.4,1066599,222875,48109
MN,St. Paul,0.4,342614,70734,15046
FL,St. Petersburg,0.4,141956,30417,6761
CA,Stockton,0.4,185992,38271,8107
AZ,Sun City,0.4,95001,22023,5317
NY,Syracuse,0.4,333163,69604,15021
WA,Tacoma,0.4,256900,52969,11249
MD,Takoma Park,0.4,315856,64680,13620
FL,Tallahassee,0.4,267594,55355,11804
FL,Tampa,0.4,468106,97231,20837
TX,Temple,0.4,163873,33415,6998
IN,Terre Haute,0.4,56059,11736,2539
AR,Texarkana,0.4,79322,16731,3652
OH,Toledo,0.4,307068,64264,13898
KS,Topeka,0.4,141077,29411,6331
MI,Traverse City,0.4,75848,16404,3685
AZ,Tucson,0.4,388448,82624,18212
OK,Tulsa,0.4,428285,89485,19314
MS,Tupelo,0.4,123518,25793,5563
AL,Tuscaloosa,0.4,86078,17796,3792
TX,Tyler,0.4,174872,36978,8095
IL,Urbana,0.4,144705,30117,6470
CA,Ventura,0.4,267873,55630,11919
TX,Victoria,0.4,46021,9714,2122
TX,Waco,0.4,105756,22154,4796
DC,Washington,0.4,871608,180003,38304
IA,Waterloo,0.4,67135,14135,3079
WI,Wausau,0.4,60272,12831,2831
NY,White Plains,0.4,358753,74945,16173
TX,Wichita Falls,0.4,61846,12959,2806
KS,Wichita,0.4,380686,79880,17329
PA,Wilkes-Barre,0.4,79254,16849,3712
DE,Wilmington,0.4,254848,52986,11368
NC,Wilmington,0.4,154035,32747,7214
VA,Winchester,0.4,140096,29443,6399
NC,Winston-Salem,0.4,359945,75887,16555
MA,Worcester,0.4,260954,54222,11625
WA,Yakima,0.4,88389,18341,3926
PA,York,0.4,137334,28897,6289
OH,Youngstown,0.4,197451,42234,9369
OH,Akron,0.6,328794,68800,14876
CA,Alameda County,0.6,786113,161616,34200
GA,Albany,0.6,94286,19651,4229
NY,Albany,0.6,886634,186626,40636
NM,Albuquerque,0.6,802077,168324,36521
LA,Alexandria,0.6,132958,27800,6005
PA,Allentown,0.6,576343,121326,26421
PA,Altoona,0.6,140736,29959,6610
TX,Amarillo,0.6,199603,41417,8864
AK,Anchorage,0.6,331147,67155,13967
MI,Ann Arbor,0.6,669353,139096,29825
WI,Appleton,0.6,152728,32004,6931
VA,Arlington,0.6,1145722,233085,48674
NC,Asheville,0.6,331879,71412,15949
GA,Atlanta,0.6,3016369,618672,130533
GA,Augusta,0.6,324145,67610,14563
IL,Aurora,0.6,147386,29943,6242
TX,Austin,0.6,914068,185553,38641
CA,Bakersfield,0.6,508269,103600,21687
MD,Baltimore,0.6,1209002,251357,53927
ME,Bangor,0.6,191132,40756,9009
LA,Baton Rouge,0.6,448114,92385,19617
TX,Beaumont,0.6,213823,44652,9631
OR,Bend,0.6,113926,24342,5393
MT,Billings,0.6,285912,59891,12966
NY,Binghamton,0.6,171692,36443,8013
AL,Birmingham,0.6,1064814,223097,48312
ND,Bismarck,0.6,109549,23027,5006
IL,Bloomington,0.6,96478,19809,4185
IL,Blue Island,0.6,402581,84156,18174
ID,Boise,0.6,420700,87625,18841
MA,Boston,0.6,2413325,503107,108294
CO,Boulder,0.6,160492,32893,6933
FL,Bradenton,0.6,159827,35089,8013
CT,Bridgeport,0.6,323480,67285,14444
NY,Bronx,0.6,656845,134516,28327
TX,Bryan,0.6,138445,28144,5872
NY,Buffalo,0.6,654224,137671,29968
VT,Burlington,0.6,313632,65524,14141
NJ,Camden,0.6,1325233,279679,61086
OH,Canton,0.6,297209,62964,13814
MO,Cape Girardeau,0.6,121739,25709,5619
WY,Casper,0.6,91730,19249,4176
IA,Cedar Rapids,0.6,140923,29524,6393
SC,Charleston,0.6,548644,115432,25121
WV,Charleston,0.6,390125,83002,18300
NC,Charlotte,0.6,1214543,250918,53418
VA,Charlottesville,0.6,286681,60207,13074
TN,Chattanooga,0.6,340494,71611,15577
IL,Chicago,0.6,1227043,250595,52588
CA,Chico,0.6,143929,30421,6656
OH,Cincinnati,0.6,776062,161446,34663
FL,Clearwater,0.6,260893,57070,12981
OH,Cleveland,0.6,961738,202887,44293
CO,Colorado Springs,0.6,404010,83598,17832
MO,Columbia,0.6,334754,70204,15220
SC,Columbia,0.6,585399,122035,26267
GA,Columbus,0.6,168489,34762,7388
OH,Columbus,0.6,1443442,299404,64055
CA,Contra Costa County,0.6,506765,105354,22602
TX,Corpus Christi,0.6,263971,54889,11778
KY,Covington,0.6,196224,40533,8628
TX,Dallas,0.6,2351298,479980,100668
PA,Danville,0.6,288854,60570,13129
IA,Davenport,0.6,227737,48181,10554
OH,Dayton,0.6,495427,104229,22681
MI,Dearborn,0.6,229552,47926,10335
CO,Denver,0.6,1428212,293012,61843
IA,Des Moines,0.6,521871,108772,23407
MI,Detroit,0.6,789316,164491,35392
AL,Dothan,0.6,174058,36811,8060
IA,Dubuque,0.6,75467,15953,3491
MN,Duluth,0.6,164683,34914,7666
NC,Durham,0.6,658351,137903,29854
NY,East Long Island,0.6,2286749,477312,102896
TX,El Paso,0.6,503509,103995,22133
IL,Elgin,0.6,366358,75354,15955
NY,Elmira,0.6,153041,32407,7106
OH,Elyria,0.6,120157,25340,5530
PA,Erie,0.6,336683,71384,15676
OR,Eugene,0.6,362143,76845,16891
IL,Evanston,0.6,427177,90438,19826
IN,Evansville,0.6,317367,66875,14580
WA,Everett,0.6,325442,67808,14586
ND,Fargo/Moorhead MN,0.6,259248,54403,11803
MI,Flint,0.6,255888,53711,11656
SC,Florence,0.6,172717,36397,7936
CO,Fort Collins,0.6,172797,35523,7517
FL,Fort Lauderdale,0.6,1437968,308518,68680
FL,Fort Myers,0.6,647413,144310,33490
AR,Fort Smith,0.6,169183,35703,7798
IN,Fort Wayne,0.6,390827,81806,17695
TX,Fort Worth,0.6,1058575,216972,45740
CA,Fresno,0.6,550887,113026,23857
FL,Gainesville,0.6,278423,58420,12673
IN,Gary,0.6,235300,49323,10687
ND,Grand Forks,0.6,78050,16300,3516
CO,Grand Junction,0.6,162311,34092,7405
MI,Grand Rapids,0.6,560348,116234,24868
MT,Great Falls,0.6,68953,14559,3182
CO,Greeley,0.6,176560,36715,7879
WI,Green Bay,0.6,241772,50958,11113
NC,Greensboro,0.6,303436,63384,13676
NC,Greenville,0.6,407585,85218,18408
SC,Greenville,0.6,446171,93524,20264
MS,Gulfport,0.6,95803,19830,4232
NJ,Hackensack,0.6,629321,130975,28136
TX,Harlingen,0.6,251180,52060,11127
PA,Harrisburg,0.6,495245,104539,22838
CT,Hartford,0.6,717802,150376,32560
MS,Hattiesburg,0.6,144251,30034,6455
NC,Hickory,0.6,137561,29064,6357
IL,Hinsdale,0.6,231440,47841,10192
HI,Honolulu,0.6,668414,140572,30577
LA,Houma,0.6,123706,25668,5493
TX,Houston,0.6,3167213,645619,135164
FL,Hudson,0.6,210737,46466,10660
WV,Huntington,0.6,165804,35113,7700
AL,Huntsville,0.6,303693,63410,13675
ID,Idaho Falls,0.6,101914,20985,4449
IN,Indianapolis,0.6,1349636,279963,59899
IA,Iowa City,0.6,167531,34853,7483
MS,Jackson,0.6,475700,99067,21298
TN,Jackson,0.6,153660,32525,7129
FL,Jacksonville,0.6,804071,167284,35919
TN,Johnson City,0.6,141313,29779,6493
PA,Johnstown,0.6,102490,22053,4925
IL,Joliet,0.6,310087,64078,13646
AR,Jonesboro,0.6,111581,23396,5071
MO,Joplin,0.6,169679,35877,7854
MI,Kalamazoo,0.6,312118,65287,14110
MO,Kansas City,0.6,1170541,243051,52064
OH,Kettering,0.6,200569,42280,9222
TN,Kingsport,0.6,225511,48202,10685
TN,Knoxville,0.6,664835,140610,30789
WI,La Crosse,0.6,167754,35336,7701
IN,Lafayette,0.6,119721,24561,5184
LA,Lafayette,0.6,286535,59335,12668
LA,Lake Charles,0.6,126362,26171,5589
FL,Lakeland,0.6,190430,40349,8854
PA,Lancaster,0.6,317229,66687,14498
MI,Lansing,0.6,336982,69891,14951
NV,Las Vegas,0.6,1022996,212704,45639
OK,Lawton,0.6,91647,19033,4078
NH,Lebanon,0.6,192299,40971,9048
KY,Lexington,0.6,715705,149171,32101
NE,Lincoln,0.6,275403,57683,12486
AR,Little Rock,0.6,727489,152977,33270
TX,Longview,0.6,96790,20292,4398
CA,Los Angeles,0.6,4724497,969936,204888
KY,Louisville,0.6,831445,173465,37373
TX,Lubbock,0.6,327877,67539,14327
VA,Lynchburg,0.6,130406,27619,6058
GA,Macon,0.6,341213,71170,15329
WI,Madison,0.6,532159,110550,23695
NH,Manchester,0.6,428807,89658,19368
NY,Manhattan,0.6,2504062,517116,110035
MI,Marquette,0.6,95567,20404,4517
WI,Marshfield,0.6,177349,37730,8318
IA,Mason City,0.6,60196,12967,2900
TX,McAllen,0.6,291947,59690,12544
OR,Medford,0.6,210692,45479,10193
IL,Melrose Park,0.6,618906,128149,27357
TN,Memphis,0.6,819719,169786,36261
MS,Meridian,0.6,88836,18722,4083
AZ,Mesa,0.6,681371,141587,30357
LA,Metairie,0.6,219808,46108,9999
FL,Miami,0.6,1644889,342533,73633
WI,Milwaukee,0.6,1247523,258726,55342
MN,Minneapolis,0.6,1542213,320282,68623
ND,Minot,0.6,67460,13918,2958
MT,Missoula,0.6,189055,40156,8837
AL,Mobile,0.6,389374,81689,17718
CA,Modesto,0.6,408586,84446,17987
LA,Monroe,0.6,122872,25687,5548
AL,Montgomery,0.6,216518,45016,9658
WV,Morgantown,0.6,197573,41458,8994
NJ,Morristown,0.6,477085,99630,21490
IN,Muncie,0.6,77282,16260,3539
IN,Munster,0.6,143906,29920,6420
MI,Muskegon,0.6,125704,26486,5774
CA,Napa,0.6,131102,27966,6185
TN,Nashville,0.6,1369597,283650,60570
WI,Neenah,0.6,115118,24147,5236
NJ,New Brunswick,0.6,507235,105117,22464
CT,New Haven,0.6,706243,148099,32104
LA,New Orleans,0.6,332595,68439,14499
NJ,Newark,0.6,740123,151914,32082
VA,Newport News,0.6,268454,56101,12111
VA,Norfolk,0.6,614100,126608,26885
FL,Ocala,0.6,269875,61824,14753
TX,Odessa,0.6,170252,34809,7315
UT,Ogden,0.6,213600,43543,9116
OK,Oklahoma City,0.6,894891,185934,39860
WA,Olympia,0.6,192094,40546,8857
NE,Omaha,0.6,606597,126373,27180
CA,Orange County,0.6,1597535,329534,70022
FL,Orlando,0.6,1878561,397633,87152
FL,Ormond Beach,0.6,203328,44835,10286
KY,Owensboro,0.6,67223,14192,3101
MS,Oxford,0.6,70112,14574,3126
KY,Paducah,0.6,174136,37100,8193
CA,Palm Springs/Rancho Mira,0.6,183586,40257,9181
NJ,Paterson,0.6,186465,38853,8358
FL,Pensacola,0.6,382112,80040,17328
IL,Peoria,0.6,281442,59521,13033
MI,Petoskey,0.6,85576,18415,4113
PA,Philadelphia,0.6,1998826,415803,89270
AZ,Phoenix,0.6,1656654,345126,74227
PA,Pittsburgh,0.6,1394503,295848,65015
MI,Pontiac,0.6,226162,47017,10086
ME,Portland,0.6,525739,110977,24246
OR,Portland,0.6,1329353,276117,59171
RI,Providence,0.6,592021,123470,26590
UT,Provo,0.6,262185,52812,10889
CO,Pueblo,0.6,83130,17644,3880
NC,Raleigh,0.6,1002026,205893,43540
SD,Rapid City,0.6,104154,21920,4772
PA,Reading,0.6,280150,58916,12815
CA,Redding,0.6,165707,35166,7731
NV,Reno,0.6,363572,76361,16584
VA,Richmond,0.6,845446,175693,37673
NJ,Ridgewood,0.6,203239,42352,9112
VA,Roanoke,0.6,341845,72241,15803
MN,Rochester,0.6,192220,40599,8876
NY,Rochester,0.6,621899,130223,28180
IL,Rockford,0.6,331279,69671,15155
GA,Rome,0.6,133152,27904,6044
MI,Royal Oak,0.6,333719,70105,15229
CA,Sacramento,0.6,1245984,259710,55892
MI,Saginaw,0.6,293894,62921,13973
OR,Salem,0.6,153097,31990,6905
CA,Salinas,0.6,181948,37525,7972
MD,Salisbury,0.6,222908,48067,10761
UT,Salt Lake City,0.6,931612,191241,40393
TX,San Angelo,0.6,75650,15860,3437
TX,San Antonio,0.6,1315060,271302,57658
CA,San Bernardino,0.6,1444133,295303,62069
CA,San Diego,0.6,1803340,370968,78559
CA,San Francisco,0.6,763652,158568,33968
CA,San Jose,0.6,873964,179424,37901
CA,San Luis Obispo,0.6,128222,27039,5900
CA,San Mateo County,0.6,400124,83331,17915
CA,Santa Barbara,0.6,215897,44848,9612
CA,Santa Cruz,0.6,137648,28410,6041
CA,Santa Rosa,0.6,241731,50970,11121
FL,Sarasota,0.6,224976,51683,12367
GA,Savannah,0.6,421154,87980,18985
PA,Sayre,0.6,91853,19560,4317
PA,Scranton,0.6,152290,32552,7216
WA,Seattle,0.6,1452730,300026,63847
LA,Shreveport,0.6,318602,66763,14460
IA,Sioux City,0.6,117411,24677,5364
SD,Sioux Falls,0.6,362138,76191,16581
LA,Slidell,0.6,89695,18903,4122
IN,South Bend,0.6,323723,67668,14613
SC,Spartanburg,0.6,180595,37982,8262
WA,Spokane,0.6,726335,152345,33033
AR,Springdale,0.6,262543,54309,11580
IL,Springfield,0.6,382478,80996,17762
MA,Springfield,0.6,360184,75450,16335
MO,Springfield,0.6,413077,87993,19429
MN,St. Cloud,0.6,121853,25357,5446
MI,St. Joseph,0.6,66141,14053,3093
MO,St. Louis,0.6,1599898,334313,72164
MN,St. Paul,0.6,513922,106102,22569
FL,St. Petersburg,0.6,212935,45626,10142
CA,Stockton,0.6,278987,57406,12161
AZ,Sun City,0.6,142502,33035,7975
NY,Syracuse,0.6,499745,104407,22532
WA,Tacoma,0.6,385351,79453,16873
MD,Takoma Park,0.6,473783,97020,20429
FL,Tallahassee,0.6,401391,83033,17705
FL,Tampa,0.6,702158,145846,31255
TX,Temple,0.6,245810,50122,10497
IN,Terre Haute,0.6,84089,17605,3809
AR,Texarkana,0.6,118983,25096,5478
OH,Toledo,0.6,460603,96396,20847
KS,Topeka,0.6,211616,44116,9496
MI,Traverse City,0.6,113771,24605,5527
AZ,Tucson,0.6,582671,123935,27318
OK,Tulsa,0.6,642427,134227,28971
MS,Tupelo,0.6,185278,38690,8345
AL,Tuscaloosa,0.6,129116,26693,5688
TX,Tyler,0.6,262309,55467,12143
IL,Urbana,0.6,217058,45176,9705
CA,Ventura,0.6,401810,83445,17878
TX,Victoria,0.6,69031,14571,3183
TX,Waco,0.6,158633,33231,7195
DC,Washington,0.6,1307413,270005,57456
IA,Waterloo,0.6,100702,21203,4618
WI,Wausau,0.6,90407,19246,4246
NY,White Plains,0.6,538129,112418,24259
TX,Wichita Falls,0.6,92769,19438,4210
KS,Wichita,0.6,571029,119820,25993
PA,Wilkes-Barre,0.6,118881,25273,5567
DE,Wilmington,0.6,382272,79479,17052
NC,Wilmington,0.6,231053,49120,10821
VA,Winchester,0.6,210144,44164,9599
NC,Winston-Salem,0.6,539917,113830,24833
MA,Worcester,0.6,391432,81333,17437
WA,Yakima,0.6,132583,27511,5888
PA,York,0.6,206000,43345,9434
OH,Youngstown,0.6,296177,63351,14054
