State,Percentage,Projected_Infected,Proejcted_Hospitalized,Projected_ICUed
AK,0.20 ,110464.00 ,22401.00 ,4659.00 
AL,0.20 ,749618.00 ,156906.00 ,33939.00 
AR,0.20 ,454445.00 ,95392.00 ,20703.00 
AZ,0.20 ,1037504.00 ,218147.00 ,47439.00 
CA,0.20 ,5973625.00 ,1232809.00 ,262113.00 
CO,0.20 ,837037.00 ,172478.00 ,36601.00 
CT,0.20 ,566349.00 ,118546.00 ,25641.00 
DC,0.20 ,110867.00 ,22580.00 ,4722.00 
DE,0.20 ,147936.00 ,31159.00 ,6790.00 
FL,0.20 ,3233373.00 ,688952.00 ,152165.00 
GA,0.20 ,1540486.00 ,317401.00 ,67348.00 
HI,0.20 ,222815.00 ,46859.00 ,10193.00 
IA,0.20 ,477880.00 ,100317.00 ,21773.00 
ID,0.20 ,244553.00 ,51072.00 ,11016.00 
IL,0.20 ,1979106.00 ,411141.00 ,88123.00 
IN,0.20 ,1007313.00 ,209792.00 ,45105.00 
KS,0.20 ,437109.00 ,91150.00 ,19627.00 
KY,0.20 ,682357.00 ,142429.00 ,30704.00 
LA,0.20 ,710146.00 ,147389.00 ,31555.00 
MA,0.20 ,1081157.00 ,225365.00 ,48504.00 
MD,0.20 ,929693.00 ,192776.00 ,41226.00 
ME,0.20 ,214666.00 ,45539.00 ,10007.00 
MI,0.20 ,1543409.00 ,323177.00 ,69934.00 
MN,0.20 ,840878.00 ,175037.00 ,37609.00 
MO,0.20 ,937178.00 ,196228.00 ,42460.00 
MS,0.20 ,451984.00 ,94180.00 ,20261.00 
MT,0.20 ,160741.00 ,33887.00 ,7392.00 
NC,0.20 ,1552576.00 ,323773.00 ,69720.00 
ND,0.20 ,115021.00 ,23891.00 ,5120.00 
NE,0.20 ,284820.00 ,59409.00 ,12796.00 
NH,0.20 ,213598.00 ,44750.00 ,9690.00 
NJ,0.20 ,1392068.00 ,290219.00 ,62473.00 
NM,0.20 ,317420.00 ,66555.00 ,14425.00 
NV,0.20 ,443545.00 ,92260.00 ,19805.00 
NY,0.20 ,3118985.00 ,649766.00 ,139746.00 
OH,0.20 ,1796518.00 ,376387.00 ,81502.00 
OK,0.20 ,587995.00 ,122631.00 ,26410.00 
OR,0.20 ,632174.00 ,132560.00 ,28734.00 
PA,0.20 ,2020318.00 ,425300.00 ,92617.00 
PR,0.20 ,547527.00 ,115993.00 ,25448.00 
RI,0.20 ,169111.00 ,35364.00 ,7640.00 
SC,0.20 ,760498.00 ,159604.00 ,34631.00 
SD,0.20 ,128897.00 ,27001.00 ,5846.00 
TN,0.20 ,1019947.00 ,213044.00 ,45966.00 
TX,0.20 ,4041299.00 ,828949.00 ,174914.00 
UT,0.20 ,416506.00 ,84971.00 ,17807.00 
VA,0.20 ,1299936.00 ,269557.00 ,57648.00 
VT,0.20 ,100971.00 ,21266.00 ,4634.00 
WA,0.20 ,1110918.00 ,230626.00 ,49391.00 
WI,0.20 ,893853.00 ,186870.00 ,40361.00 
WV,0.20 ,291995.00 ,61869.00 ,13576.00 
WY,0.20 ,88968.00 ,18504.00 ,3972.00 
AK,0.40 ,220928.00 ,44801.00 ,9317.00 
AL,0.40 ,1499236.00 ,313812.00 ,67877.00 
AR,0.40 ,908890.00 ,190783.00 ,41406.00 
AZ,0.40 ,2075008.00 ,436293.00 ,94878.00 
CA,0.40 ,11947251.00 ,2465619.00 ,524225.00 
CO,0.40 ,1674074.00 ,344955.00 ,73203.00 
CT,0.40 ,1132698.00 ,237091.00 ,51283.00 
DC,0.40 ,221733.00 ,45160.00 ,9444.00 
DE,0.40 ,295872.00 ,62317.00 ,13579.00 
FL,0.40 ,6466746.00 ,1377904.00 ,304330.00 
GA,0.40 ,3080973.00 ,634801.00 ,134696.00 
HI,0.40 ,445630.00 ,93718.00 ,20385.00 
IA,0.40 ,955759.00 ,200633.00 ,43546.00 
ID,0.40 ,489106.00 ,102143.00 ,22033.00 
IL,0.40 ,3958212.00 ,822282.00 ,176247.00 
IN,0.40 ,2014625.00 ,419584.00 ,90211.00 
KS,0.40 ,874218.00 ,182300.00 ,39253.00 
KY,0.40 ,1364714.00 ,284858.00 ,61409.00 
LA,0.40 ,1420291.00 ,294778.00 ,63111.00 
MA,0.40 ,2162315.00 ,450730.00 ,97008.00 
MD,0.40 ,1859386.00 ,385552.00 ,82452.00 
ME,0.40 ,429332.00 ,91078.00 ,20014.00 
MI,0.40 ,3086819.00 ,646354.00 ,139867.00 
MN,0.40 ,1681755.00 ,350075.00 ,75218.00 
MO,0.40 ,1874356.00 ,392457.00 ,84921.00 
MS,0.40 ,903968.00 ,188361.00 ,40522.00 
MT,0.40 ,321482.00 ,67775.00 ,14785.00 
NC,0.40 ,3105153.00 ,647547.00 ,139441.00 
ND,0.40 ,230042.00 ,47781.00 ,10239.00 
NE,0.40 ,569641.00 ,118819.00 ,25593.00 
NH,0.40 ,427196.00 ,89500.00 ,19380.00 
NJ,0.40 ,2784136.00 ,580438.00 ,124947.00 
NM,0.40 ,634840.00 ,133110.00 ,28850.00 
NV,0.40 ,887089.00 ,184519.00 ,39611.00 
NY,0.40 ,6237970.00 ,1299532.00 ,279491.00 
OH,0.40 ,3593035.00 ,752773.00 ,163004.00 
OK,0.40 ,1175990.00 ,245263.00 ,52820.00 
OR,0.40 ,1264348.00 ,265119.00 ,57467.00 
PA,0.40 ,4040635.00 ,850599.00 ,185234.00 
PR,0.40 ,1095054.00 ,231986.00 ,50896.00 
RI,0.40 ,338222.00 ,70728.00 ,15281.00 
SC,0.40 ,1520996.00 ,319209.00 ,69262.00 
SD,0.40 ,257793.00 ,54001.00 ,11691.00 
TN,0.40 ,2039894.00 ,426087.00 ,91931.00 
TX,0.40 ,8082598.00 ,1657898.00 ,349829.00 
UT,0.40 ,833012.00 ,169942.00 ,35615.00 
VA,0.40 ,2599871.00 ,539114.00 ,115296.00 
VT,0.40 ,201942.00 ,42532.00 ,9267.00 
WA,0.40 ,2221836.00 ,461252.00 ,98782.00 
WI,0.40 ,1787707.00 ,373740.00 ,80722.00 
WV,0.40 ,583990.00 ,123738.00 ,27153.00 
WY,0.40 ,177937.00 ,37009.00 ,7944.00 
AK,0.60 ,331391.00 ,67202.00 ,13976.00 
AL,0.60 ,2248853.00 ,470718.00 ,101816.00 
AR,0.60 ,1363336.00 ,286175.00 ,62109.00 
AZ,0.60 ,3112512.00 ,654440.00 ,142316.00 
CA,0.60 ,17920876.00 ,3698428.00 ,786338.00 
CO,0.60 ,2511112.00 ,517433.00 ,109804.00 
CT,0.60 ,1699048.00 ,355637.00 ,76924.00 
DC,0.60 ,332600.00 ,67741.00 ,14167.00 
DE,0.60 ,443807.00 ,93476.00 ,20369.00 
FL,0.60 ,9700119.00 ,2066855.00 ,456495.00 
GA,0.60 ,4621459.00 ,952202.00 ,202044.00 
HI,0.60 ,668445.00 ,140578.00 ,30578.00 
IA,0.60 ,1433639.00 ,300950.00 ,65320.00 
ID,0.60 ,733658.00 ,153215.00 ,33049.00 
IL,0.60 ,5937317.00 ,1233422.00 ,264370.00 
IN,0.60 ,3021938.00 ,629377.00 ,135316.00 
KS,0.60 ,1311328.00 ,273450.00 ,58880.00 
KY,0.60 ,2047070.00 ,427288.00 ,92113.00 
LA,0.60 ,2130437.00 ,442166.00 ,94666.00 
MA,0.60 ,3243472.00 ,676095.00 ,145511.00 
MD,0.60 ,2789080.00 ,578329.00 ,123677.00 
ME,0.60 ,643999.00 ,136617.00 ,30021.00 
MI,0.60 ,4630228.00 ,969532.00 ,209801.00 
MN,0.60 ,2522633.00 ,525112.00 ,112828.00 
MO,0.60 ,2811535.00 ,588685.00 ,127381.00 
MS,0.60 ,1355951.00 ,282541.00 ,60782.00 
MT,0.60 ,482222.00 ,101662.00 ,22177.00 
NC,0.60 ,4657729.00 ,971320.00 ,209161.00 
ND,0.60 ,345063.00 ,71672.00 ,15359.00 
NE,0.60 ,854461.00 ,178228.00 ,38389.00 
NH,0.60 ,640795.00 ,134251.00 ,29070.00 
NJ,0.60 ,4176204.00 ,870657.00 ,187420.00 
NM,0.60 ,952261.00 ,199664.00 ,43276.00 
NV,0.60 ,1330634.00 ,276779.00 ,59416.00 
NY,0.60 ,9356954.00 ,1949297.00 ,419237.00 
OH,0.60 ,5389553.00 ,1129160.00 ,244507.00 
OK,0.60 ,1763986.00 ,367894.00 ,79230.00 
OR,0.60 ,1896523.00 ,397679.00 ,86201.00 
PA,0.60 ,6060953.00 ,1275899.00 ,277852.00 
PR,0.60 ,1642582.00 ,347979.00 ,76344.00 
RI,0.60 ,507334.00 ,106092.00 ,22921.00 
SC,0.60 ,2281493.00 ,478813.00 ,103893.00 
SD,0.60 ,386690.00 ,81002.00 ,17537.00 
TN,0.60 ,3059840.00 ,639131.00 ,137897.00 
TX,0.60 ,12123897.00 ,2486847.00 ,524743.00 
UT,0.60 ,1249518.00 ,254913.00 ,53422.00 
VA,0.60 ,3899807.00 ,808672.00 ,172945.00 
VT,0.60 ,302914.00 ,63798.00 ,13901.00 
WA,0.60 ,3332755.00 ,691879.00 ,148174.00 
WI,0.60 ,2681560.00 ,560610.00 ,121083.00 
WV,0.60 ,875984.00 ,185608.00 ,40729.00 
WY,0.60 ,266905.00 ,55514.00 ,11916.00 
