State,City,Month,Percentage,Percentage of Available Bed,Percentage of Available ICU
OH,Akron,6,0.2,2.95,3.52
CA,Alameda County,6,0.2,5.4,5.47
GA,Albany,6,0.2,1.98,3.48
NY,Albany,6,0.2,2.63,4.68
NM,Albuquerque,6,0.2,3.39,5.04
LA,Alexandria,6,0.2,1.54,6.65
PA,Allentown,6,0.2,2.13,4.1
PA,Altoona,6,0.2,2.85,5.44
TX,Amarillo,6,0.2,1.36,2.49
AK,Anchorage,6,0.2,2.8,5.64
MI,Ann Arbor,6,0.2,3.53,5.43
WI,Appleton,6,0.2,3.2,4.16
VA,Arlington,6,0.2,5.21,6.25
NC,Asheville,6,0.2,2.85,4.66
GA,Atlanta,6,0.2,4.12,6.65
GA,Augusta,6,0.2,1.81,3.06
IL,Aurora,6,0.2,2.33,5.56
TX,Austin,6,0.2,4.11,5.34
CA,Bakersfield,6,0.2,3.33,5.48
MD,Baltimore,6,0.2,2.96,3.95
ME,Bangor,6,0.2,2.27,7.14
LA,Baton Rouge,6,0.2,1.77,3.66
TX,Beaumont,6,0.2,2.36,4.98
OR,Bend,6,0.2,2.97,7.06
MT,Billings,6,0.2,1.43,4.43
NY,Binghamton,6,0.2,2.22,10.47
AL,Birmingham,6,0.2,1.8,3.14
ND,Bismarck,6,0.2,1.21,2.58
IL,Bloomington,6,0.2,2.19,9.3
IL,Blue Island,6,0.2,3.21,3.42
ID,Boise,6,0.2,2.3,4.41
MA,Boston,6,0.2,4.39,5.5
CO,Boulder,6,0.2,2.46,3.58
FL,Bradenton,6,0.2,2.28,3.63
CT,Bridgeport,6,0.2,4.04,4.94
NY,Bronx,6,0.2,3.7,5.47
TX,Bryan,6,0.2,1.97,3.82
NY,Buffalo,6,0.2,2.49,7.01
VT,Burlington,6,0.2,2.48,4.83
NJ,Camden,6,0.2,2.71,4.63
OH,Canton,6,0.2,1.98,3.16
MO,Cape Girardeau,6,0.2,1.43,2.91
WY,Casper,6,0.2,1.13,4.65
IA,Cedar Rapids,6,0.2,1.8,6.45
SC,Charleston,6,0.2,2.63,5.52
WV,Charleston,6,0.2,1.58,4.2
NC,Charlotte,6,0.2,3.81,4.77
VA,Charlottesville,6,0.2,3.09,8.31
TN,Chattanooga,6,0.2,2.44,5.86
IL,Chicago,6,0.2,1.76,3.75
CA,Chico,6,0.2,4.42,6.43
OH,Cincinnati,6,0.2,2.33,4.16
FL,Clearwater,6,0.2,1.76,6.55
OH,Cleveland,6,0.2,1.71,3.22
CO,Colorado Springs,6,0.2,3.35,6.39
MO,Columbia,6,0.2,1.73,4.39
SC,Columbia,6,0.2,2.58,3.87
GA,Columbus,6,0.2,1.41,4.97
OH,Columbus,6,0.2,2.38,6.06
CA,Contra Costa County,6,0.2,3.47,6.2
TX,Corpus Christi,6,0.2,3.42,6.89
KY,Covington,6,0.2,3.22,4.92
TX,Dallas,6,0.2,2.9,4.97
PA,Danville,6,0.2,2.64,8.85
IA,Davenport,6,0.2,1.53,3.56
OH,Dayton,6,0.2,3.09,5.66
MI,Dearborn,6,0.2,2.31,2.42
CO,Denver,6,0.2,2.87,4.23
IA,Des Moines,6,0.2,2.03,6.84
MI,Detroit,6,0.2,2.74,4.82
AL,Dothan,6,0.2,1.62,5.42
IA,Dubuque,6,0.2,1.56,9.75
MN,Duluth,6,0.2,1.53,2.33
NC,Durham,6,0.2,2.72,2.75
NY,East Long Island,6,0.2,8.62,9.73
TX,El Paso,6,0.2,3.07,9.65
IL,Elgin,6,0.2,3.53,5.3
NY,Elmira,6,0.2,1.99,11.29
OH,Elyria,6,0.2,2.63,5.86
PA,Erie,6,0.2,2.25,3.95
OR,Eugene,6,0.2,4.11,5.86
IL,Evanston,6,0.2,3.02,3.22
IN,Evansville,6,0.2,1.42,2.06
WA,Everett,6,0.2,4.72,12.46
ND,Fargo/Moorhead MN,6,0.2,1.65,5.46
MI,Flint,6,0.2,2.61,4.47
SC,Florence,6,0.2,1.68,2.23
CO,Fort Collins,6,0.2,2.31,11.93
FL,Fort Lauderdale,6,0.2,2.49,5.23
FL,Fort Myers,6,0.2,2.94,7.67
AR,Fort Smith,6,0.2,1.63,3.15
IN,Fort Wayne,6,0.2,1.75,2.75
TX,Fort Worth,6,0.2,3.44,5.43
CA,Fresno,6,0.2,4.59,6.88
FL,Gainesville,6,0.2,2.77,3.2
IN,Gary,6,0.2,1.72,2.49
ND,Grand Forks,6,0.2,0.97,4.33
CO,Grand Junction,6,0.2,2.36,5
MI,Grand Rapids,6,0.2,2.7,6.43
MT,Great Falls,6,0.2,0.88,2.63
CO,Greeley,6,0.2,2.06,6.25
WI,Green Bay,6,0.2,2.27,5.74
NC,Greensboro,6,0.2,3.89,6.47
NC,Greenville,6,0.2,3,3.56
SC,Greenville,6,0.2,2.6,10.98
MS,Gulfport,6,0.2,1.54,2.35
NJ,Hackensack,6,0.2,2.75,6.38
TX,Harlingen,6,0.2,2.16,5.61
PA,Harrisburg,6,0.2,2.5,8.33
CT,Hartford,6,0.2,4.45,6.3
MS,Hattiesburg,6,0.2,1.32,4.77
NC,Hickory,6,0.2,2.55,5.64
IL,Hinsdale,6,0.2,2.64,2.54
HI,Honolulu,6,0.2,3.93,9.3
LA,Houma,6,0.2,1.43,3.81
TX,Houston,6,0.2,2.8,4.61
FL,Hudson,6,0.2,3.14,5.27
WV,Huntington,6,0.2,2.04,2.67
AL,Huntsville,6,0.2,2.48,5.15
ID,Idaho Falls,6,0.2,1.73,4.13
IN,Indianapolis,6,0.2,1.86,3.3
IA,Iowa City,6,0.2,1.44,2.59
MS,Jackson,6,0.2,1.12,3.17
TN,Jackson,6,0.2,1.71,2.77
FL,Jacksonville,6,0.2,2.29,4.36
TN,Johnson City,6,0.2,1.94,3.69
PA,Johnstown,6,0.2,1.15,4.36
IL,Joliet,6,0.2,2.15,5.72
AR,Jonesboro,6,0.2,1.29,4.91
MO,Joplin,6,0.2,1.57,2.46
MI,Kalamazoo,6,0.2,2.13,14.95
MO,Kansas City,6,0.2,2.04,4.05
OH,Kettering,6,0.2,2.28,4.88
TN,Kingsport,6,0.2,1.6,3.16
TN,Knoxville,6,0.2,2.61,9.24
WI,La Crosse,6,0.2,2.74,3.89
IN,Lafayette,6,0.2,2.83,8.21
LA,Lafayette,6,0.2,1.88,3.24
LA,Lake Charles,6,0.2,1.37,2.82
FL,Lakeland,6,0.2,2.35,3.46
PA,Lancaster,6,0.2,3.17,8.05
MI,Lansing,6,0.2,2.46,2.89
NV,Las Vegas,6,0.2,4.34,6.26
OK,Lawton,6,0.2,1.22,2.84
NH,Lebanon,6,0.2,2.73,3.59
KY,Lexington,6,0.2,1.6,4.15
NE,Lincoln,6,0.2,1.26,8.39
AR,Little Rock,6,0.2,1.56,4.18
TX,Longview,6,0.2,4.6,4.67
CA,Los Angeles,6,0.2,3.27,4.83
KY,Louisville,6,0.2,2.27,5.04
TX,Lubbock,6,0.2,1.63,3.74
VA,Lynchburg,6,0.2,1.99,6.75
GA,Macon,6,0.2,1.83,5.98
WI,Madison,6,0.2,2.93,4.36
NH,Manchester,6,0.2,3.42,8.11
NY,Manhattan,6,0.2,3.76,3.97
MI,Marquette,6,0.2,1.64,5.56
WI,Marshfield,6,0.2,2.98,5.44
IA,Mason City,6,0.2,1.21,10.67
TX,McAllen,6,0.2,1.56,2.1
OR,Medford,6,0.2,2.74,9.08
IL,Melrose Park,6,0.2,2.54,4.44
TN,Memphis,6,0.2,1.84,5.8
MS,Meridian,6,0.2,0.93,4.79
AZ,Mesa,6,0.2,4.85,6.25
LA,Metairie,6,0.2,2.52,5.05
FL,Miami,6,0.2,2.58,5.84
WI,Milwaukee,6,0.2,2.6,3.81
MN,Minneapolis,6,0.2,2.9,6.41
ND,Minot,6,0.2,0.8,7.33
MT,Missoula,6,0.2,1.96,5.03
AL,Mobile,6,0.2,2.61,3.9
CA,Modesto,6,0.2,4.02,9.09
LA,Monroe,6,0.2,1.02,3.42
AL,Montgomery,6,0.2,2.17,3.52
WV,Morgantown,6,0.2,1.85,5
NJ,Morristown,6,0.2,3.76,8.85
IN,Muncie,6,0.2,2.8,9.88
IN,Munster,6,0.2,1.04,3.4
MI,Muskegon,6,0.2,2.33,3.2
CA,Napa,6,0.2,4.09,3.34
TN,Nashville,6,0.2,2.11,4.25
WI,Neenah,6,0.2,2.05,4.64
NJ,New Brunswick,6,0.2,3.79,3.96
CT,New Haven,6,0.2,5.4,6.04
LA,New Orleans,6,0.2,1.75,4.18
NJ,Newark,6,0.2,3.27,3.66
VA,Newport News,6,0.2,4.97,5.98
VA,Norfolk,6,0.2,3.6,7.28
FL,Ocala,6,0.2,4.75,6.43
TX,Odessa,6,0.2,1.43,4.29
UT,Ogden,6,0.2,2.61,4.83
OK,Oklahoma City,6,0.2,1.69,3.94
WA,Olympia,6,0.2,5.21,7.88
NE,Omaha,6,0.2,1.61,3.28
CA,Orange County,6,0.2,3.28,5.31
FL,Orlando,6,0.2,2.68,4.32
FL,Ormond Beach,6,0.2,2.77,3.63
KY,Owensboro,6,0.2,1.8,4.93
MS,Oxford,6,0.2,0.94,4.6
KY,Paducah,6,0.2,1.06,3.19
CA,Palm Springs/Rancho Mira,6,0.2,2.22,8.87
NJ,Paterson,6,0.2,1.64,15.5
FL,Pensacola,6,0.2,2.36,4.23
IL,Peoria,6,0.2,2.06,4.08
MI,Petoskey,6,0.2,2.3,4.14
PA,Philadelphia,6,0.2,2.54,3.63
AZ,Phoenix,6,0.2,2.99,3.96
PA,Pittsburgh,6,0.2,2.4,3.44
MI,Pontiac,6,0.2,3.26,4.57
ME,Portland,6,0.2,3.47,5.86
OR,Portland,6,0.2,3.53,4.73
RI,Providence,6,0.2,3.98,7.21
UT,Provo,6,0.2,3.03,4.65
CO,Pueblo,6,0.2,1.65,12.29
NC,Raleigh,6,0.2,4.07,6.05
SD,Rapid City,6,0.2,1.42,5.3
PA,Reading,6,0.2,2.34,5.7
CA,Redding,6,0.2,2.75,2.97
NV,Reno,6,0.2,2.57,2.88
VA,Richmond,6,0.2,2.62,5.81
NJ,Ridgewood,6,0.2,3.42,5.77
VA,Roanoke,6,0.2,2.71,3.11
MN,Rochester,6,0.2,1.52,2.19
NY,Rochester,6,0.2,3.5,7.2
IL,Rockford,6,0.2,2.53,3.51
GA,Rome,6,0.2,2.71,8.38
MI,Royal Oak,6,0.2,1.82,3.48
CA,Sacramento,6,0.2,4.39,5.54
MI,Saginaw,6,0.2,1.45,4.94
OR,Salem,6,0.2,4.62,15.3
CA,Salinas,6,0.2,2.88,4.78
MD,Salisbury,6,0.2,5.71,9.19
UT,Salt Lake City,6,0.2,2.36,3.24
TX,San Angelo,6,0.2,1.09,4.47
TX,San Antonio,6,0.2,2.43,5.93
CA,San Bernardino,6,0.2,3.09,5.97
CA,San Diego,6,0.2,4.23,4.88
CA,San Francisco,6,0.2,3.09,3.72
CA,San Jose,6,0.2,4.35,5.77
CA,San Luis Obispo,6,0.2,2.98,3.97
CA,San Mateo County,6,0.2,4.1,4.52
CA,Santa Barbara,6,0.2,4.05,6.11
CA,Santa Cruz,6,0.2,3.73,22.33
CA,Santa Rosa,6,0.2,3.7,5.49
FL,Sarasota,6,0.2,1.9,3.57
GA,Savannah,6,0.2,3.01,7.67
PA,Sayre,6,0.2,2.02,3.43
PA,Scranton,6,0.2,2.23,5.16
WA,Seattle,6,0.2,4.88,6.79
LA,Shreveport,6,0.2,1.37,2.89
IA,Sioux City,6,0.2,1.51,5.17
SD,Sioux Falls,6,0.2,1.02,7.08
LA,Slidell,6,0.2,1.24,1.31
IN,South Bend,6,0.2,2.73,4.64
SC,Spartanburg,6,0.2,3.01,2.83
WA,Spokane,6,0.2,2.04,5.48
AR,Springdale,6,0.2,1.96,3.52
IL,Springfield,6,0.2,1.54,5
MA,Springfield,6,0.2,3.35,4.97
MO,Springfield,6,0.2,2.39,6.45
MN,St. Cloud,6,0.2,2.48,7.56
MI,St. Joseph,6,0.2,1.31,7.67
MO,St. Louis,6,0.2,1.72,2.93
MN,St. Paul,6,0.2,4.05,10.46
FL,St. Petersburg,6,0.2,1.65,6.82
CA,Stockton,6,0.2,3.88,6.59
AZ,Sun City,6,0.2,2.02,2.19
NY,Syracuse,6,0.2,2.44,6.51
WA,Tacoma,6,0.2,4.83,6.05
MD,Takoma Park,6,0.2,7.33,9.46
FL,Tallahassee,6,0.2,3.06,7.86
FL,Tampa,6,0.2,2.51,4.21
TX,Temple,6,0.2,2.86,4.66
IN,Terre Haute,6,0.2,1.89,2.3
AR,Texarkana,6,0.2,1.46,1.97
OH,Toledo,6,0.2,1.91,2.59
KS,Topeka,6,0.2,1.65,4.31
MI,Traverse City,6,0.2,1.87,17.57
AZ,Tucson,6,0.2,2.33,3.77
OK,Tulsa,6,0.2,1.67,4.05
MS,Tupelo,6,0.2,1.05,3.03
AL,Tuscaloosa,6,0.2,2,3.41
TX,Tyler,6,0.2,2.34,2.13
IL,Urbana,6,0.2,2.09,4
CA,Ventura,6,0.2,6.67,4.22
TX,Victoria,6,0.2,0.92,3.94
TX,Waco,6,0.2,2.83,6.67
DC,Washington,6,0.2,3.76,5.86
IA,Waterloo,6,0.2,1.39,5.42
WI,Wausau,6,0.2,2.82,2.09
NY,White Plains,6,0.2,4.18,3.93
TX,Wichita Falls,6,0.2,1.45,11.75
KS,Wichita,6,0.2,1.2,2.86
PA,Wilkes-Barre,6,0.2,2.14,5.17
DE,Wilmington,6,0.2,2.94,6.11
NC,Wilmington,6,0.2,4.35,14.12
VA,Winchester,6,0.2,2.75,9.68
NC,Winston-Salem,6,0.2,3,13.8
MA,Worcester,6,0.2,4.25,9
WA,Yakima,6,0.2,3.06,3.97
PA,York,6,0.2,3.61,26.25
OH,Youngstown,6,0.2,2.59,4.73
OH,Akron,6,0.4,5.9,7.03
CA,Alameda County,6,0.4,10.8,10.94
GA,Albany,6,0.4,3.95,6.96
NY,Albany,6,0.4,5.25,9.36
NM,Albuquerque,6,0.4,6.79,10.08
LA,Alexandria,6,0.4,3.07,13.35
PA,Allentown,6,0.4,4.26,8.21
PA,Altoona,6,0.4,5.69,10.89
TX,Amarillo,6,0.4,2.72,4.99
AK,Anchorage,6,0.4,5.6,11.29
MI,Ann Arbor,6,0.4,7.06,10.87
WI,Appleton,6,0.4,6.41,8.32
VA,Arlington,6,0.4,10.41,12.5
NC,Asheville,6,0.4,5.71,9.33
GA,Atlanta,6,0.4,8.24,13.31
GA,Augusta,6,0.4,3.62,6.1
IL,Aurora,6,0.4,4.65,11.08
TX,Austin,6,0.4,8.22,10.66
CA,Bakersfield,6,0.4,6.65,10.95
MD,Baltimore,6,0.4,5.92,7.91
ME,Bangor,6,0.4,4.53,14.29
LA,Baton Rouge,6,0.4,3.54,7.33
TX,Beaumont,6,0.4,4.71,9.95
OR,Bend,6,0.4,5.95,14.12
MT,Billings,6,0.4,2.86,8.86
NY,Binghamton,6,0.4,4.44,20.94
AL,Birmingham,6,0.4,3.6,6.28
ND,Bismarck,6,0.4,2.42,5.16
IL,Bloomington,6,0.4,4.38,18.6
IL,Blue Island,6,0.4,6.42,6.85
ID,Boise,6,0.4,4.59,8.81
MA,Boston,6,0.4,8.78,10.99
CO,Boulder,6,0.4,4.92,7.16
FL,Bradenton,6,0.4,4.56,7.27
CT,Bridgeport,6,0.4,8.08,9.88
NY,Bronx,6,0.4,7.41,10.95
TX,Bryan,6,0.4,3.95,7.68
NY,Buffalo,6,0.4,4.98,14.02
VT,Burlington,6,0.4,4.96,9.66
NJ,Camden,6,0.4,5.42,9.27
OH,Canton,6,0.4,3.96,6.33
MO,Cape Girardeau,6,0.4,2.87,5.81
WY,Casper,6,0.4,2.26,9.3
IA,Cedar Rapids,6,0.4,3.6,12.91
SC,Charleston,6,0.4,5.26,11.06
WV,Charleston,6,0.4,3.16,8.38
NC,Charlotte,6,0.4,7.61,9.53
VA,Charlottesville,6,0.4,6.18,16.6
TN,Chattanooga,6,0.4,4.89,11.73
IL,Chicago,6,0.4,3.52,7.49
CA,Chico,6,0.4,8.84,12.87
OH,Cincinnati,6,0.4,4.67,8.33
FL,Clearwater,6,0.4,3.53,13.11
OH,Cleveland,6,0.4,3.43,6.43
CO,Colorado Springs,6,0.4,6.69,12.79
MO,Columbia,6,0.4,3.46,8.78
SC,Columbia,6,0.4,5.15,7.73
GA,Columbus,6,0.4,2.82,9.94
OH,Columbus,6,0.4,4.77,12.11
CA,Contra Costa County,6,0.4,6.94,12.41
TX,Corpus Christi,6,0.4,6.83,13.76
KY,Covington,6,0.4,6.43,9.82
TX,Dallas,6,0.4,5.8,9.94
PA,Danville,6,0.4,5.28,17.7
IA,Davenport,6,0.4,3.06,7.11
OH,Dayton,6,0.4,6.18,11.33
MI,Dearborn,6,0.4,4.61,4.83
CO,Denver,6,0.4,5.74,8.46
IA,Des Moines,6,0.4,4.05,13.68
MI,Detroit,6,0.4,5.48,9.65
AL,Dothan,6,0.4,3.25,10.85
IA,Dubuque,6,0.4,3.11,19.38
MN,Duluth,6,0.4,3.06,4.67
NC,Durham,6,0.4,5.45,5.51
NY,East Long Island,6,0.4,17.25,19.46
TX,El Paso,6,0.4,6.14,19.29
IL,Elgin,6,0.4,7.05,10.58
NY,Elmira,6,0.4,3.99,22.57
OH,Elyria,6,0.4,5.26,11.71
PA,Erie,6,0.4,4.49,7.92
OR,Eugene,6,0.4,8.21,11.73
IL,Evanston,6,0.4,6.03,6.43
IN,Evansville,6,0.4,2.83,4.13
WA,Everett,6,0.4,9.45,24.92
ND,Fargo/Moorhead MN,6,0.4,3.29,10.94
MI,Flint,6,0.4,5.21,8.93
SC,Florence,6,0.4,3.36,4.47
CO,Fort Collins,6,0.4,4.63,23.86
FL,Fort Lauderdale,6,0.4,4.98,10.45
FL,Fort Myers,6,0.4,5.89,15.34
AR,Fort Smith,6,0.4,3.26,6.31
IN,Fort Wayne,6,0.4,3.5,5.5
TX,Fort Worth,6,0.4,6.89,10.87
CA,Fresno,6,0.4,9.18,13.77
FL,Gainesville,6,0.4,5.54,6.4
IN,Gary,6,0.4,3.44,5
ND,Grand Forks,6,0.4,1.94,8.67
CO,Grand Junction,6,0.4,4.72,9.97
MI,Grand Rapids,6,0.4,5.4,12.85
MT,Great Falls,6,0.4,1.76,5.22
CO,Greeley,6,0.4,4.12,12.5
WI,Green Bay,6,0.4,4.55,11.49
NC,Greensboro,6,0.4,7.78,12.94
NC,Greenville,6,0.4,6,7.11
SC,Greenville,6,0.4,5.21,21.98
MS,Gulfport,6,0.4,3.07,4.7
NJ,Hackensack,6,0.4,5.51,12.76
TX,Harlingen,6,0.4,4.32,11.25
PA,Harrisburg,6,0.4,5,16.64
CT,Hartford,6,0.4,8.9,12.58
MS,Hattiesburg,6,0.4,2.65,9.57
NC,Hickory,6,0.4,5.11,11.32
IL,Hinsdale,6,0.4,5.29,5.09
HI,Honolulu,6,0.4,7.86,18.62
LA,Houma,6,0.4,2.86,7.63
TX,Houston,6,0.4,5.59,9.21
FL,Hudson,6,0.4,6.28,10.53
WV,Huntington,6,0.4,4.09,5.34
AL,Huntsville,6,0.4,4.95,10.31
ID,Idaho Falls,6,0.4,3.47,8.25
IN,Indianapolis,6,0.4,3.71,6.61
IA,Iowa City,6,0.4,2.88,5.2
MS,Jackson,6,0.4,2.24,6.36
TN,Jackson,6,0.4,3.42,5.56
FL,Jacksonville,6,0.4,4.58,8.72
TN,Johnson City,6,0.4,3.87,7.41
PA,Johnstown,6,0.4,2.3,8.76
IL,Joliet,6,0.4,4.3,11.43
AR,Jonesboro,6,0.4,2.58,9.78
MO,Joplin,6,0.4,3.15,4.92
MI,Kalamazoo,6,0.4,4.26,29.86
MO,Kansas City,6,0.4,4.08,8.09
OH,Kettering,6,0.4,4.56,9.76
TN,Kingsport,6,0.4,3.21,6.33
TN,Knoxville,6,0.4,5.22,18.49
WI,La Crosse,6,0.4,5.49,7.77
IN,Lafayette,6,0.4,5.66,16.43
LA,Lafayette,6,0.4,3.77,6.47
LA,Lake Charles,6,0.4,2.74,5.64
FL,Lakeland,6,0.4,4.69,6.91
PA,Lancaster,6,0.4,6.33,16.1
MI,Lansing,6,0.4,4.91,5.77
NV,Las Vegas,6,0.4,8.69,12.52
OK,Lawton,6,0.4,2.45,5.66
NH,Lebanon,6,0.4,5.47,7.18
KY,Lexington,6,0.4,3.2,8.3
NE,Lincoln,6,0.4,2.52,16.82
AR,Little Rock,6,0.4,3.13,8.36
TX,Longview,6,0.4,9.2,9.29
CA,Los Angeles,6,0.4,6.54,9.67
KY,Louisville,6,0.4,4.54,10.07
TX,Lubbock,6,0.4,3.26,7.49
VA,Lynchburg,6,0.4,3.97,13.45
GA,Macon,6,0.4,3.66,11.95
WI,Madison,6,0.4,5.86,8.7
NH,Manchester,6,0.4,6.85,16.25
NY,Manhattan,6,0.4,7.51,7.94
MI,Marquette,6,0.4,3.29,11.17
WI,Marshfield,6,0.4,5.97,10.88
IA,Mason City,6,0.4,2.41,21.5
TX,McAllen,6,0.4,3.12,4.2
OR,Medford,6,0.4,5.48,18.12
IL,Melrose Park,6,0.4,5.08,8.88
TN,Memphis,6,0.4,3.69,11.6
MS,Meridian,6,0.4,1.87,9.53
AZ,Mesa,6,0.4,9.71,12.49
LA,Metairie,6,0.4,5.05,10.09
FL,Miami,6,0.4,5.16,11.69
WI,Milwaukee,6,0.4,5.21,7.62
MN,Minneapolis,6,0.4,5.79,12.82
ND,Minot,6,0.4,1.61,14.56
MT,Missoula,6,0.4,3.92,10.08
AL,Mobile,6,0.4,5.22,7.79
CA,Modesto,6,0.4,8.04,18.16
LA,Monroe,6,0.4,2.04,6.86
AL,Montgomery,6,0.4,4.34,7.03
WV,Morgantown,6,0.4,3.69,10
NJ,Morristown,6,0.4,7.52,17.69
IN,Muncie,6,0.4,5.6,19.63
IN,Munster,6,0.4,2.07,6.79
MI,Muskegon,6,0.4,4.65,6.43
CA,Napa,6,0.4,8.18,6.71
TN,Nashville,6,0.4,4.22,8.49
WI,Neenah,6,0.4,4.1,9.32
NJ,New Brunswick,6,0.4,7.58,7.92
CT,New Haven,6,0.4,10.79,12.09
LA,New Orleans,6,0.4,3.5,8.36
NJ,Newark,6,0.4,6.54,7.31
VA,Newport News,6,0.4,9.93,11.96
VA,Norfolk,6,0.4,7.2,14.57
FL,Ocala,6,0.4,9.51,12.86
TX,Odessa,6,0.4,2.85,8.55
UT,Ogden,6,0.4,5.22,9.64
OK,Oklahoma City,6,0.4,3.38,7.88
WA,Olympia,6,0.4,10.42,15.76
NE,Omaha,6,0.4,3.22,6.57
CA,Orange County,6,0.4,6.55,10.62
FL,Orlando,6,0.4,5.37,8.65
FL,Ormond Beach,6,0.4,5.55,7.25
KY,Owensboro,6,0.4,3.61,9.86
MS,Oxford,6,0.4,1.88,9.27
KY,Paducah,6,0.4,2.12,6.39
CA,Palm Springs/Rancho Mira,6,0.4,4.43,17.74
NJ,Paterson,6,0.4,3.28,30.92
FL,Pensacola,6,0.4,4.71,8.46
IL,Peoria,6,0.4,4.11,8.15
MI,Petoskey,6,0.4,4.6,8.32
PA,Philadelphia,6,0.4,5.09,7.27
AZ,Phoenix,6,0.4,5.98,7.93
PA,Pittsburgh,6,0.4,4.8,6.88
MI,Pontiac,6,0.4,6.51,9.14
ME,Portland,6,0.4,6.95,11.72
OR,Portland,6,0.4,7.07,9.46
RI,Providence,6,0.4,7.95,14.41
UT,Provo,6,0.4,6.06,9.31
CO,Pueblo,6,0.4,3.29,24.57
NC,Raleigh,6,0.4,8.14,12.09
SD,Rapid City,6,0.4,2.84,10.6
PA,Reading,6,0.4,4.68,11.4
CA,Redding,6,0.4,5.5,5.93
NV,Reno,6,0.4,5.14,5.76
VA,Richmond,6,0.4,5.25,11.63
NJ,Ridgewood,6,0.4,6.84,11.57
VA,Roanoke,6,0.4,5.41,6.21
MN,Rochester,6,0.4,3.04,4.38
NY,Rochester,6,0.4,7,14.39
IL,Rockford,6,0.4,5.05,7.02
GA,Rome,6,0.4,5.41,16.81
MI,Royal Oak,6,0.4,3.63,6.98
CA,Sacramento,6,0.4,8.78,11.09
MI,Saginaw,6,0.4,2.91,9.86
OR,Salem,6,0.4,9.23,30.7
CA,Salinas,6,0.4,5.75,9.57
MD,Salisbury,6,0.4,11.42,18.38
UT,Salt Lake City,6,0.4,4.71,6.48
TX,San Angelo,6,0.4,2.18,9
TX,San Antonio,6,0.4,4.87,11.87
CA,San Bernardino,6,0.4,6.18,11.94
CA,San Diego,6,0.4,8.46,9.75
CA,San Francisco,6,0.4,6.19,7.44
CA,San Jose,6,0.4,8.71,11.53
CA,San Luis Obispo,6,0.4,5.95,7.94
CA,San Mateo County,6,0.4,8.19,9.05
CA,Santa Barbara,6,0.4,8.1,12.2
CA,Santa Cruz,6,0.4,7.47,44.67
CA,Santa Rosa,6,0.4,7.4,10.98
FL,Sarasota,6,0.4,3.8,7.14
GA,Savannah,6,0.4,6.02,15.35
PA,Sayre,6,0.4,4.04,6.86
PA,Scranton,6,0.4,4.47,10.35
WA,Seattle,6,0.4,9.76,13.58
LA,Shreveport,6,0.4,2.75,5.79
