State,City,Month,Percentage,Percentage of Available Bed,Percentage of Available ICU
IA,Sioux City,6,0.4,3.03,10.35
SD,Sioux Falls,6,0.4,2.05,14.17
LA,Slidell,6,0.4,2.49,2.61
IN,South Bend,6,0.4,5.46,9.27
SC,Spartanburg,6,0.4,6.03,5.65
WA,Spokane,6,0.4,4.09,10.96
AR,Springdale,6,0.4,3.92,7.05
IL,Springfield,6,0.4,3.07,9.99
MA,Springfield,6,0.4,6.71,9.95
MO,Springfield,6,0.4,4.78,12.88
MN,St. Cloud,6,0.4,4.96,15.13
MI,St. Joseph,6,0.4,2.63,15.22
MO,St. Louis,6,0.4,3.43,5.86
MN,St. Paul,6,0.4,8.1,20.9
FL,St. Petersburg,6,0.4,3.31,13.67
CA,Stockton,6,0.4,7.75,13.17
AZ,Sun City,6,0.4,4.03,4.37
NY,Syracuse,6,0.4,4.88,13
WA,Tacoma,6,0.4,9.65,12.1
MD,Takoma Park,6,0.4,14.67,18.92
FL,Tallahassee,6,0.4,6.12,15.74
FL,Tampa,6,0.4,5.03,8.42
TX,Temple,6,0.4,5.71,9.34
IN,Terre Haute,6,0.4,3.78,4.57
AR,Texarkana,6,0.4,2.91,3.92
OH,Toledo,6,0.4,3.82,5.18
KS,Topeka,6,0.4,3.3,8.61
MI,Traverse City,6,0.4,3.73,35.14
AZ,Tucson,6,0.4,4.65,7.54
OK,Tulsa,6,0.4,3.35,8.1
MS,Tupelo,6,0.4,2.1,6.08
AL,Tuscaloosa,6,0.4,3.99,6.84
TX,Tyler,6,0.4,4.68,4.25
IL,Urbana,6,0.4,4.18,7.98
CA,Ventura,6,0.4,13.34,8.46
TX,Victoria,6,0.4,1.84,7.83
TX,Waco,6,0.4,5.66,13.33
DC,Washington,6,0.4,7.52,11.72
IA,Waterloo,6,0.4,2.77,10.79
WI,Wausau,6,0.4,5.63,4.2
NY,White Plains,6,0.4,8.37,7.87
TX,Wichita Falls,6,0.4,2.9,23.38
KS,Wichita,6,0.4,2.39,5.72
PA,Wilkes-Barre,6,0.4,4.27,10.29
DE,Wilmington,6,0.4,5.88,12.23
NC,Wilmington,6,0.4,8.7,28.29
VA,Winchester,6,0.4,5.5,19.41
NC,Winston-Salem,6,0.4,6,27.6
MA,Worcester,6,0.4,8.51,18.02
WA,Yakima,6,0.4,6.12,7.94
PA,York,6,0.4,7.21,52.38
OH,Youngstown,6,0.4,5.19,9.47
OH,Akron,6,0.6,8.86,10.55
CA,Alameda County,6,0.6,16.2,16.4
GA,Albany,6,0.6,5.93,10.44
NY,Albany,6,0.6,7.88,14.04
NM,Albuquerque,6,0.6,10.18,15.12
LA,Alexandria,6,0.6,4.61,20
PA,Allentown,6,0.6,6.38,12.31
PA,Altoona,6,0.6,8.53,16.33
TX,Amarillo,6,0.6,4.07,7.48
AK,Anchorage,6,0.6,8.4,16.93
MI,Ann Arbor,6,0.6,10.59,16.3
WI,Appleton,6,0.6,9.61,12.49
VA,Arlington,6,0.6,15.62,18.76
NC,Asheville,6,0.6,8.56,13.99
GA,Atlanta,6,0.6,12.36,19.96
GA,Augusta,6,0.6,5.42,9.16
IL,Aurora,6,0.6,6.98,16.64
TX,Austin,6,0.6,12.33,16
CA,Bakersfield,6,0.6,9.98,16.43
MD,Baltimore,6,0.6,8.88,11.86
ME,Bangor,6,0.6,6.79,21.46
LA,Baton Rouge,6,0.6,5.31,10.99
TX,Beaumont,6,0.6,7.07,14.93
OR,Bend,6,0.6,8.92,21.18
MT,Billings,6,0.6,4.29,13.29
NY,Binghamton,6,0.6,6.66,31.41
AL,Birmingham,6,0.6,5.4,9.42
ND,Bismarck,6,0.6,3.64,7.77
IL,Bloomington,6,0.6,6.57,27.9
IL,Blue Island,6,0.6,9.62,10.27
ID,Boise,6,0.6,6.89,13.22
MA,Boston,6,0.6,13.16,16.48
CO,Boulder,6,0.6,7.38,10.74
FL,Bradenton,6,0.6,6.84,10.9
CT,Bridgeport,6,0.6,12.12,14.82
NY,Bronx,6,0.6,11.11,16.42
TX,Bryan,6,0.6,5.92,11.5
NY,Buffalo,6,0.6,7.47,21.03
VT,Burlington,6,0.6,7.44,14.51
NJ,Camden,6,0.6,8.13,13.9
OH,Canton,6,0.6,5.95,9.49
MO,Cape Girardeau,6,0.6,4.31,8.72
WY,Casper,6,0.6,3.39,13.9
IA,Cedar Rapids,6,0.6,5.41,19.36
SC,Charleston,6,0.6,7.89,16.58
WV,Charleston,6,0.6,4.74,12.58
NC,Charlotte,6,0.6,11.42,14.3
VA,Charlottesville,6,0.6,9.27,24.91
TN,Chattanooga,6,0.6,7.33,17.59
IL,Chicago,6,0.6,5.29,11.24
CA,Chico,6,0.6,13.25,19.3
OH,Cincinnati,6,0.6,7,12.49
FL,Clearwater,6,0.6,5.29,19.66
OH,Cleveland,6,0.6,5.14,9.65
CO,Colorado Springs,6,0.6,10.04,19.18
MO,Columbia,6,0.6,5.19,13.18
SC,Columbia,6,0.6,7.73,11.6
GA,Columbus,6,0.6,4.24,14.94
OH,Columbus,6,0.6,7.15,18.17
CA,Contra Costa County,6,0.6,10.41,18.6
TX,Corpus Christi,6,0.6,10.25,20.66
KY,Covington,6,0.6,9.65,14.74
TX,Dallas,6,0.6,8.7,14.91
PA,Danville,6,0.6,7.92,26.52
IA,Davenport,6,0.6,4.6,10.67
OH,Dayton,6,0.6,9.28,16.99
MI,Dearborn,6,0.6,6.92,7.25
CO,Denver,6,0.6,8.61,12.69
IA,Des Moines,6,0.6,6.08,20.53
MI,Detroit,6,0.6,8.23,14.47
AL,Dothan,6,0.6,4.87,16.27
IA,Dubuque,6,0.6,4.67,29.13
MN,Duluth,6,0.6,4.58,7
NC,Durham,6,0.6,8.17,8.26
NY,East Long Island,6,0.6,25.87,29.19
TX,El Paso,6,0.6,9.21,28.94
IL,Elgin,6,0.6,10.58,15.88
NY,Elmira,6,0.6,5.98,33.86
OH,Elyria,6,0.6,7.89,17.57
PA,Erie,6,0.6,6.74,11.88
OR,Eugene,6,0.6,12.31,17.59
IL,Evanston,6,0.6,9.05,9.65
IN,Evansville,6,0.6,4.25,6.19
WA,Everett,6,0.6,14.17,37.38
ND,Fargo/Moorhead MN,6,0.6,4.94,16.4
MI,Flint,6,0.6,7.82,13.4
SC,Florence,6,0.6,5.04,6.7
CO,Fort Collins,6,0.6,6.94,35.79
FL,Fort Lauderdale,6,0.6,7.47,15.68
FL,Fort Myers,6,0.6,8.83,23.02
AR,Fort Smith,6,0.6,4.89,9.45
IN,Fort Wayne,6,0.6,5.25,8.25
TX,Fort Worth,6,0.6,10.33,16.3
CA,Fresno,6,0.6,13.78,20.65
FL,Gainesville,6,0.6,8.3,9.6
IN,Gary,6,0.6,5.15,7.49
ND,Grand Forks,6,0.6,2.91,13
CO,Grand Junction,6,0.6,7.08,14.97
MI,Grand Rapids,6,0.6,8.1,19.28
MT,Great Falls,6,0.6,2.65,7.85
CO,Greeley,6,0.6,6.18,18.75
WI,Green Bay,6,0.6,6.82,17.23
NC,Greensboro,6,0.6,11.67,19.4
NC,Greenville,6,0.6,9,10.67
SC,Greenville,6,0.6,7.81,32.95
MS,Gulfport,6,0.6,4.61,7.05
NJ,Hackensack,6,0.6,8.26,19.14
TX,Harlingen,6,0.6,6.48,16.86
PA,Harrisburg,6,0.6,7.5,24.97
CT,Hartford,6,0.6,13.35,18.88
MS,Hattiesburg,6,0.6,3.97,14.33
NC,Hickory,6,0.6,7.66,16.96
IL,Hinsdale,6,0.6,7.93,7.63
HI,Honolulu,6,0.6,11.79,27.92
LA,Houma,6,0.6,4.29,11.44
TX,Houston,6,0.6,8.39,13.82
FL,Hudson,6,0.6,9.42,15.8
WV,Huntington,6,0.6,6.13,8.02
AL,Huntsville,6,0.6,7.43,15.46
ID,Idaho Falls,6,0.6,5.2,12.38
IN,Indianapolis,6,0.6,5.57,9.91
IA,Iowa City,6,0.6,4.32,7.8
MS,Jackson,6,0.6,3.36,9.53
TN,Jackson,6,0.6,5.13,8.33
FL,Jacksonville,6,0.6,6.86,13.09
TN,Johnson City,6,0.6,5.8,11.1
PA,Johnstown,6,0.6,3.45,13.12
IL,Joliet,6,0.6,6.45,17.17
AR,Jonesboro,6,0.6,3.87,14.7
MO,Joplin,6,0.6,4.72,7.38
MI,Kalamazoo,6,0.6,6.39,44.81
MO,Kansas City,6,0.6,6.12,12.14
OH,Kettering,6,0.6,6.84,14.64
TN,Kingsport,6,0.6,4.81,9.49
TN,Knoxville,6,0.6,7.82,27.74
WI,La Crosse,6,0.6,8.24,11.66
IN,Lafayette,6,0.6,8.48,24.71
LA,Lafayette,6,0.6,5.65,9.71
LA,Lake Charles,6,0.6,4.12,8.48
FL,Lakeland,6,0.6,7.04,10.35
PA,Lancaster,6,0.6,9.5,24.18
MI,Lansing,6,0.6,7.37,8.67
NV,Las Vegas,6,0.6,13.03,18.78
OK,Lawton,6,0.6,3.67,8.5
NH,Lebanon,6,0.6,8.2,10.77
KY,Lexington,6,0.6,4.8,12.44
NE,Lincoln,6,0.6,3.79,25.21
AR,Little Rock,6,0.6,4.69,12.53
TX,Longview,6,0.6,13.81,13.95
CA,Los Angeles,6,0.6,9.81,14.5
KY,Louisville,6,0.6,6.8,15.1
TX,Lubbock,6,0.6,4.88,11.24
VA,Lynchburg,6,0.6,5.96,20.2
GA,Macon,6,0.6,5.49,17.93
WI,Madison,6,0.6,8.79,13.06
NH,Manchester,6,0.6,10.27,24.36
NY,Manhattan,6,0.6,11.27,11.91
MI,Marquette,6,0.6,4.93,16.72
WI,Marshfield,6,0.6,8.95,16.32
IA,Mason City,6,0.6,3.62,32.17
TX,McAllen,6,0.6,4.69,6.29
OR,Medford,6,0.6,8.22,27.2
IL,Melrose Park,6,0.6,7.61,13.31
TN,Memphis,6,0.6,5.53,17.39
MS,Meridian,6,0.6,2.8,14.32
AZ,Mesa,6,0.6,14.57,18.74
LA,Metairie,6,0.6,7.57,15.16
FL,Miami,6,0.6,7.74,17.53
WI,Milwaukee,6,0.6,7.82,11.42
MN,Minneapolis,6,0.6,8.69,19.22
ND,Minot,6,0.6,2.42,21.89
MT,Missoula,6,0.6,5.88,15.1
AL,Mobile,6,0.6,7.84,11.69
CA,Modesto,6,0.6,12.06,27.25
LA,Monroe,6,0.6,3.05,10.28
AL,Montgomery,6,0.6,6.51,10.56
WV,Morgantown,6,0.6,5.54,15
NJ,Morristown,6,0.6,11.28,26.54
IN,Muncie,6,0.6,8.4,29.5
IN,Munster,6,0.6,3.11,10.19
MI,Muskegon,6,0.6,6.98,9.63
CA,Napa,6,0.6,12.26,10.05
TN,Nashville,6,0.6,6.33,12.74
WI,Neenah,6,0.6,6.15,13.96
NJ,New Brunswick,6,0.6,11.38,11.89
CT,New Haven,6,0.6,16.19,18.14
LA,New Orleans,6,0.6,5.25,12.56
NJ,Newark,6,0.6,9.8,10.97
VA,Newport News,6,0.6,14.9,17.93
VA,Norfolk,6,0.6,10.79,21.85
FL,Ocala,6,0.6,14.26,19.29
TX,Odessa,6,0.6,4.27,12.84
UT,Ogden,6,0.6,7.82,14.48
OK,Oklahoma City,6,0.6,5.07,11.81
WA,Olympia,6,0.6,15.62,23.6
NE,Omaha,6,0.6,4.84,9.85
CA,Orange County,6,0.6,9.83,15.93
FL,Orlando,6,0.6,8.05,12.97
FL,Ormond Beach,6,0.6,8.33,10.89
KY,Owensboro,6,0.6,5.41,14.79
MS,Oxford,6,0.6,2.83,13.87
KY,Paducah,6,0.6,3.17,9.58
CA,Palm Springs/Rancho Mira,6,0.6,6.64,26.61
NJ,Paterson,6,0.6,4.91,46.42
FL,Pensacola,6,0.6,7.07,12.69
IL,Peoria,6,0.6,6.17,12.24
MI,Petoskey,6,0.6,6.9,12.45
PA,Philadelphia,6,0.6,7.63,10.9
AZ,Phoenix,6,0.6,8.96,11.89
PA,Pittsburgh,6,0.6,7.2,10.32
MI,Pontiac,6,0.6,9.76,13.71
ME,Portland,6,0.6,10.42,17.57
OR,Portland,6,0.6,10.6,14.19
RI,Providence,6,0.6,11.93,21.62
UT,Provo,6,0.6,9.1,13.96
CO,Pueblo,6,0.6,4.94,37
NC,Raleigh,6,0.6,12.21,18.14
SD,Rapid City,6,0.6,4.26,15.9
PA,Reading,6,0.6,7.03,17.08
CA,Redding,6,0.6,8.25,8.88
NV,Reno,6,0.6,7.71,8.64
VA,Richmond,6,0.6,7.87,17.44
NJ,Ridgewood,6,0.6,10.27,17.34
VA,Roanoke,6,0.6,8.12,9.33
MN,Rochester,6,0.6,4.56,6.58
NY,Rochester,6,0.6,10.5,21.6
IL,Rockford,6,0.6,7.58,10.52
GA,Rome,6,0.6,8.12,25.19
MI,Royal Oak,6,0.6,5.45,10.46
CA,Sacramento,6,0.6,13.17,16.63
MI,Saginaw,6,0.6,4.36,14.79
OR,Salem,6,0.6,13.85,46
CA,Salinas,6,0.6,8.63,14.35
MD,Salisbury,6,0.6,17.13,27.58
UT,Salt Lake City,6,0.6,7.07,9.72
TX,San Angelo,6,0.6,3.27,13.47
TX,San Antonio,6,0.6,7.3,17.8
CA,San Bernardino,6,0.6,9.26,17.91
CA,San Diego,6,0.6,12.69,14.63
CA,San Francisco,6,0.6,9.28,11.16
CA,San Jose,6,0.6,13.06,17.31
CA,San Luis Obispo,6,0.6,8.93,11.91
CA,San Mateo County,6,0.6,12.29,13.57
CA,Santa Barbara,6,0.6,12.15,18.31
CA,Santa Cruz,6,0.6,11.21,67.17
CA,Santa Rosa,6,0.6,11.1,16.47
FL,Sarasota,6,0.6,5.71,10.7
GA,Savannah,6,0.6,9.02,23.02
PA,Sayre,6,0.6,6.07,10.29
PA,Scranton,6,0.6,6.7,15.52
WA,Seattle,6,0.6,14.64,20.36
LA,Shreveport,6,0.6,4.12,8.68
IA,Sioux City,6,0.6,4.54,15.57
SD,Sioux Falls,6,0.6,3.07,21.25
LA,Slidell,6,0.6,3.73,3.93
IN,South Bend,6,0.6,8.19,13.91
SC,Spartanburg,6,0.6,9.04,8.48
WA,Spokane,6,0.6,6.13,16.43
AR,Springdale,6,0.6,5.88,10.58
IL,Springfield,6,0.6,4.61,14.99
MA,Springfield,6,0.6,10.06,14.92
MO,Springfield,6,0.6,7.16,19.33
MN,St. Cloud,6,0.6,7.44,22.69
MI,St. Joseph,6,0.6,3.94,22.89
MO,St. Louis,6,0.6,5.15,8.8
MN,St. Paul,6,0.6,12.15,31.35
FL,St. Petersburg,6,0.6,4.96,20.48
CA,Stockton,6,0.6,11.63,19.78
AZ,Sun City,6,0.6,6.05,6.57
NY,Syracuse,6,0.6,7.33,19.51
WA,Tacoma,6,0.6,14.47,18.15
MD,Takoma Park,6,0.6,22,28.38
FL,Tallahassee,6,0.6,9.18,23.6
FL,Tampa,6,0.6,7.54,12.63
TX,Temple,6,0.6,8.57,14
IN,Terre Haute,6,0.6,5.67,6.86
AR,Texarkana,6,0.6,4.37,5.89
OH,Toledo,6,0.6,5.73,7.77
KS,Topeka,6,0.6,4.95,12.92
MI,Traverse City,6,0.6,5.6,52.57
AZ,Tucson,6,0.6,6.98,11.31
OK,Tulsa,6,0.6,5.02,12.14
MS,Tupelo,6,0.6,3.15,9.11
AL,Tuscaloosa,6,0.6,5.99,10.24
TX,Tyler,6,0.6,7.02,6.38
IL,Urbana,6,0.6,6.28,11.98
CA,Ventura,6,0.6,20.01,12.68
TX,Victoria,6,0.6,2.76,11.78
TX,Waco,6,0.6,8.49,20
DC,Washington,6,0.6,11.29,17.57
IA,Waterloo,6,0.6,4.16,16.21
WI,Wausau,6,0.6,8.44,6.29
NY,White Plains,6,0.6,12.55,11.8
TX,Wichita Falls,6,0.6,4.35,35.13
KS,Wichita,6,0.6,3.59,8.58
PA,Wilkes-Barre,6,0.6,6.41,15.46
DE,Wilmington,6,0.6,8.82,18.34
NC,Wilmington,6,0.6,13.05,42.41
VA,Winchester,6,0.6,8.25,29.09
NC,Winston-Salem,6,0.6,9,41.4
MA,Worcester,6,0.6,12.76,27.02
WA,Yakima,6,0.6,9.17,11.91
PA,York,6,0.6,10.82,78.63
OH,Youngstown,6,0.6,7.78,14.2
OH,Akron,12,0.2,1.47,1.76
CA,Alameda County,12,0.2,2.7,2.73
GA,Albany,12,0.2,0.99,1.74
NY,Albany,12,0.2,1.31,2.34
NM,Albuquerque,12,0.2,1.7,2.52
LA,Alexandria,12,0.2,0.77,3.35
PA,Allentown,12,0.2,1.06,2.06
PA,Altoona,12,0.2,1.42,2.7
TX,Amarillo,12,0.2,0.68,1.24
AK,Anchorage,12,0.2,1.4,2.82
MI,Ann Arbor,12,0.2,1.76,2.71
WI,Appleton,12,0.2,1.6,2.08
VA,Arlington,12,0.2,2.6,3.13
NC,Asheville,12,0.2,1.43,2.33
GA,Atlanta,12,0.2,2.06,3.33
GA,Augusta,12,0.2,0.9,1.53
IL,Aurora,12,0.2,1.16,2.76
TX,Austin,12,0.2,2.06,2.66
CA,Bakersfield,12,0.2,1.66,2.74
MD,Baltimore,12,0.2,1.48,1.98
ME,Bangor,12,0.2,1.13,3.57
LA,Baton Rouge,12,0.2,0.89,1.83
TX,Beaumont,12,0.2,1.18,2.49
OR,Bend,12,0.2,1.48,3.53
MT,Billings,12,0.2,0.71,2.22
NY,Binghamton,12,0.2,1.11,5.24
AL,Birmingham,12,0.2,0.9,1.57
ND,Bismarck,12,0.2,0.61,1.3
IL,Bloomington,12,0.2,1.09,4.6
IL,Blue Island,12,0.2,1.6,1.71
ID,Boise,12,0.2,1.15,2.2
MA,Boston,12,0.2,2.19,2.75
CO,Boulder,12,0.2,1.23,1.79
FL,Bradenton,12,0.2,1.14,1.82
CT,Bridgeport,12,0.2,2.02,2.46
NY,Bronx,12,0.2,1.85,2.74
TX,Bryan,12,0.2,0.99,1.91
NY,Buffalo,12,0.2,1.25,3.51
VT,Burlington,12,0.2,1.24,2.42
NJ,Camden,12,0.2,1.35,2.32
OH,Canton,12,0.2,0.99,1.59
MO,Cape Girardeau,12,0.2,0.72,1.44
WY,Casper,12,0.2,0.57,2.3
IA,Cedar Rapids,12,0.2,0.9,3.23
SC,Charleston,12,0.2,1.32,2.76
WV,Charleston,12,0.2,0.79,2.09
NC,Charlotte,12,0.2,1.9,2.39
VA,Charlottesville,12,0.2,1.55,4.14
TN,Chattanooga,12,0.2,1.22,2.93
IL,Chicago,12,0.2,0.88,1.87
CA,Chico,12,0.2,2.21,3.22
OH,Cincinnati,12,0.2,1.17,2.08
FL,Clearwater,12,0.2,0.88,3.27
OH,Cleveland,12,0.2,0.86,1.61
CO,Colorado Springs,12,0.2,1.67,3.19
MO,Columbia,12,0.2,0.87,2.19
SC,Columbia,12,0.2,1.29,1.93
GA,Columbus,12,0.2,0.71,2.48
OH,Columbus,12,0.2,1.19,3.03
CA,Contra Costa County,12,0.2,1.73,3.1
TX,Corpus Christi,12,0.2,1.71,3.45
KY,Covington,12,0.2,1.61,2.46
TX,Dallas,12,0.2,1.45,2.49
PA,Danville,12,0.2,1.32,4.42
IA,Davenport,12,0.2,0.77,1.77
OH,Dayton,12,0.2,1.55,2.83
MI,Dearborn,12,0.2,1.15,1.21
CO,Denver,12,0.2,1.43,2.11
IA,Des Moines,12,0.2,1.01,3.42
MI,Detroit,12,0.2,1.37,2.41
AL,Dothan,12,0.2,0.81,2.73
IA,Dubuque,12,0.2,0.78,4.88
MN,Duluth,12,0.2,0.76,1.16
NC,Durham,12,0.2,1.36,1.38
NY,East Long Island,12,0.2,4.31,4.86
TX,El Paso,12,0.2,1.54,4.82
IL,Elgin,12,0.2,1.76,2.64
NY,Elmira,12,0.2,1,5.64
OH,Elyria,12,0.2,1.32,2.9
PA,Erie,12,0.2,1.12,1.98
OR,Eugene,12,0.2,2.05,2.94
IL,Evanston,12,0.2,1.51,1.61
IN,Evansville,12,0.2,0.71,1.03
WA,Everett,12,0.2,2.36,6.23
ND,Fargo/Moorhead MN,12,0.2,0.82,2.73
MI,Flint,12,0.2,1.3,2.24
SC,Florence,12,0.2,0.84,1.11
CO,Fort Collins,12,0.2,1.16,6
FL,Fort Lauderdale,12,0.2,1.25,2.61
FL,Fort Myers,12,0.2,1.47,3.84
AR,Fort Smith,12,0.2,0.82,1.58
IN,Fort Wayne,12,0.2,0.88,1.38
TX,Fort Worth,12,0.2,1.72,2.72
CA,Fresno,12,0.2,2.3,3.44
FL,Gainesville,12,0.2,1.38,1.6
IN,Gary,12,0.2,0.86,1.25
ND,Grand Forks,12,0.2,0.48,2.17
CO,Grand Junction,12,0.2,1.18,2.48
MI,Grand Rapids,12,0.2,1.35,3.21
MT,Great Falls,12,0.2,0.44,1.3
CO,Greeley,12,0.2,1.03,3.14
WI,Green Bay,12,0.2,1.14,2.86
NC,Greensboro,12,0.2,1.94,3.23
NC,Greenville,12,0.2,1.5,1.78
SC,Greenville,12,0.2,1.3,5.49
MS,Gulfport,12,0.2,0.77,1.18
NJ,Hackensack,12,0.2,1.38,3.19
TX,Harlingen,12,0.2,1.08,2.82
PA,Harrisburg,12,0.2,1.25,4.16
CT,Hartford,12,0.2,2.23,3.15
MS,Hattiesburg,12,0.2,0.66,2.4
NC,Hickory,12,0.2,1.28,2.84
IL,Hinsdale,12,0.2,1.32,1.27
HI,Honolulu,12,0.2,1.96,4.66
LA,Houma,12,0.2,0.71,1.91
TX,Houston,12,0.2,1.4,2.3
FL,Hudson,12,0.2,1.57,2.62
WV,Huntington,12,0.2,1.02,1.34
AL,Huntsville,12,0.2,1.24,2.58
ID,Idaho Falls,12,0.2,0.87,2.04
IN,Indianapolis,12,0.2,0.93,1.65
IA,Iowa City,12,0.2,0.72,1.3
MS,Jackson,12,0.2,0.56,1.59
TN,Jackson,12,0.2,0.85,1.39
FL,Jacksonville,12,0.2,1.14,2.18
TN,Johnson City,12,0.2,0.97,1.85
PA,Johnstown,12,0.2,0.58,2.2
IL,Joliet,12,0.2,1.08,2.87
AR,Jonesboro,12,0.2,0.65,2.43
MO,Joplin,12,0.2,0.79,1.23
MI,Kalamazoo,12,0.2,1.06,7.48
MO,Kansas City,12,0.2,1.02,2.02
OH,Kettering,12,0.2,1.14,2.43
TN,Kingsport,12,0.2,0.8,1.59
TN,Knoxville,12,0.2,1.3,4.62
WI,La Crosse,12,0.2,1.37,1.95
IN,Lafayette,12,0.2,1.41,4.14
LA,Lafayette,12,0.2,0.94,1.62
LA,Lake Charles,12,0.2,0.69,1.41
FL,Lakeland,12,0.2,1.17,1.72
PA,Lancaster,12,0.2,1.58,4.03
MI,Lansing,12,0.2,1.23,1.44
NV,Las Vegas,12,0.2,2.17,3.13
OK,Lawton,12,0.2,0.61,1.41
NH,Lebanon,12,0.2,1.37,1.8
KY,Lexington,12,0.2,0.8,2.08
NE,Lincoln,12,0.2,0.63,4.21
AR,Little Rock,12,0.2,0.78,2.09
TX,Longview,12,0.2,2.3,2.33
CA,Los Angeles,12,0.2,1.63,2.42
KY,Louisville,12,0.2,1.13,2.52
TX,Lubbock,12,0.2,0.81,1.87
VA,Lynchburg,12,0.2,0.99,3.35
GA,Macon,12,0.2,0.91,2.98
WI,Madison,12,0.2,1.47,2.17
NH,Manchester,12,0.2,1.71,4.06
NY,Manhattan,12,0.2,1.88,1.99
MI,Marquette,12,0.2,0.82,2.78
WI,Marshfield,12,0.2,1.49,2.71
IA,Mason City,12,0.2,0.6,5.33
TX,McAllen,12,0.2,0.78,1.05
OR,Medford,12,0.2,1.37,4.52
IL,Melrose Park,12,0.2,1.27,2.22
TN,Memphis,12,0.2,0.92,2.9
MS,Meridian,12,0.2,0.47,2.37
AZ,Mesa,12,0.2,2.43,3.12
LA,Metairie,12,0.2,1.26,2.52
FL,Miami,12,0.2,1.29,2.92
WI,Milwaukee,12,0.2,1.3,1.9
MN,Minneapolis,12,0.2,1.45,3.2
ND,Minot,12,0.2,0.4,3.67
MT,Missoula,12,0.2,0.98,2.51
AL,Mobile,12,0.2,1.31,1.95
CA,Modesto,12,0.2,2.01,4.55
LA,Monroe,12,0.2,0.51,1.72
AL,Montgomery,12,0.2,1.08,1.75
WV,Morgantown,12,0.2,0.92,2.5
NJ,Morristown,12,0.2,1.88,4.43
IN,Muncie,12,0.2,1.4,4.88
IN,Munster,12,0.2,0.52,1.69
MI,Muskegon,12,0.2,1.16,1.6
CA,Napa,12,0.2,2.05,1.68
TN,Nashville,12,0.2,1.06,2.12
WI,Neenah,12,0.2,1.02,2.32
NJ,New Brunswick,12,0.2,1.9,1.98
CT,New Haven,12,0.2,2.7,3.03
LA,New Orleans,12,0.2,0.87,2.09
NJ,Newark,12,0.2,1.63,1.83
VA,Newport News,12,0.2,2.48,3
VA,Norfolk,12,0.2,1.8,3.65
