State,City,Month,Percentage,Hospital Bed Needed,ICU Bed Needed
OH,Akron,6,0.2,1529,331
CA,Alameda County,6,0.2,3591,760
GA,Albany,6,0.2,437,94
NY,Albany,6,0.2,4147,903
NM,Albuquerque,6,0.2,3741,812
LA,Alexandria,6,0.2,618,133
PA,Allentown,6,0.2,2696,587
PA,Altoona,6,0.2,666,147
TX,Amarillo,6,0.2,920,197
AK,Anchorage,6,0.2,1492,310
MI,Ann Arbor,6,0.2,3091,663
WI,Appleton,6,0.2,711,154
VA,Arlington,6,0.2,5180,1082
NC,Asheville,6,0.2,1587,354
GA,Atlanta,6,0.2,13748,2901
GA,Augusta,6,0.2,1502,324
IL,Aurora,6,0.2,665,139
TX,Austin,6,0.2,4123,859
CA,Bakersfield,6,0.2,2302,482
MD,Baltimore,6,0.2,5586,1198
ME,Bangor,6,0.2,906,200
LA,Baton Rouge,6,0.2,2053,436
TX,Beaumont,6,0.2,992,214
OR,Bend,6,0.2,541,120
MT,Billings,6,0.2,1331,288
NY,Binghamton,6,0.2,810,178
AL,Birmingham,6,0.2,4958,1074
ND,Bismarck,6,0.2,512,111
IL,Bloomington,6,0.2,440,93
IL,Blue Island,6,0.2,1870,404
ID,Boise,6,0.2,1947,419
MA,Boston,6,0.2,11180,2407
CO,Boulder,6,0.2,731,154
FL,Bradenton,6,0.2,780,178
CT,Bridgeport,6,0.2,1495,321
NY,Bronx,6,0.2,2989,629
TX,Bryan,6,0.2,625,130
NY,Buffalo,6,0.2,3059,666
VT,Burlington,6,0.2,1456,314
NJ,Camden,6,0.2,6215,1357
OH,Canton,6,0.2,1399,307
MO,Cape Girardeau,6,0.2,571,125
WY,Casper,6,0.2,428,93
IA,Cedar Rapids,6,0.2,656,142
SC,Charleston,6,0.2,2565,558
WV,Charleston,6,0.2,1844,407
NC,Charlotte,6,0.2,5576,1187
VA,Charlottesville,6,0.2,1338,291
TN,Chattanooga,6,0.2,1591,346
IL,Chicago,6,0.2,5569,1169
CA,Chico,6,0.2,676,148
OH,Cincinnati,6,0.2,3588,770
FL,Clearwater,6,0.2,1268,288
OH,Cleveland,6,0.2,4509,984
CO,Colorado Springs,6,0.2,1858,396
MO,Columbia,6,0.2,1560,338
SC,Columbia,6,0.2,2712,584
GA,Columbus,6,0.2,772,164
OH,Columbus,6,0.2,6653,1423
CA,Contra Costa County,6,0.2,2341,502
TX,Corpus Christi,6,0.2,1220,262
KY,Covington,6,0.2,901,192
TX,Dallas,6,0.2,10666,2237
PA,Danville,6,0.2,1346,292
IA,Davenport,6,0.2,1071,235
OH,Dayton,6,0.2,2316,504
MI,Dearborn,6,0.2,1065,230
CO,Denver,6,0.2,6511,1374
IA,Des Moines,6,0.2,2417,520
MI,Detroit,6,0.2,3655,786
AL,Dothan,6,0.2,818,179
IA,Dubuque,6,0.2,355,78
MN,Duluth,6,0.2,776,170
NC,Durham,6,0.2,3064,663
NY,East Long Island,6,0.2,10607,2287
TX,El Paso,6,0.2,2311,492
IL,Elgin,6,0.2,1675,355
NY,Elmira,6,0.2,720,158
OH,Elyria,6,0.2,563,123
PA,Erie,6,0.2,1586,348
OR,Eugene,6,0.2,1708,375
IL,Evanston,6,0.2,2010,441
IN,Evansville,6,0.2,1486,324
WA,Everett,6,0.2,1507,324
ND,Fargo/Moorhead MN,6,0.2,1209,262
MI,Flint,6,0.2,1194,259
SC,Florence,6,0.2,809,176
CO,Fort Collins,6,0.2,789,167
FL,Fort Lauderdale,6,0.2,6856,1526
FL,Fort Myers,6,0.2,3207,744
AR,Fort Smith,6,0.2,793,173
IN,Fort Wayne,6,0.2,1818,393
TX,Fort Worth,6,0.2,4822,1016
CA,Fresno,6,0.2,2512,530
FL,Gainesville,6,0.2,1298,282
IN,Gary,6,0.2,1096,237
ND,Grand Forks,6,0.2,362,78
CO,Grand Junction,6,0.2,758,165
MI,Grand Rapids,6,0.2,2583,553
MT,Great Falls,6,0.2,324,71
CO,Greeley,6,0.2,816,175
WI,Green Bay,6,0.2,1132,247
NC,Greensboro,6,0.2,1409,304
NC,Greenville,6,0.2,1894,409
SC,Greenville,6,0.2,2078,450
MS,Gulfport,6,0.2,441,94
NJ,Hackensack,6,0.2,2911,625
TX,Harlingen,6,0.2,1157,247
PA,Harrisburg,6,0.2,2323,508
CT,Hartford,6,0.2,3342,724
MS,Hattiesburg,6,0.2,667,143
NC,Hickory,6,0.2,646,141
IL,Hinsdale,6,0.2,1063,226
HI,Honolulu,6,0.2,3124,679
LA,Houma,6,0.2,570,122
TX,Houston,6,0.2,14347,3004
FL,Hudson,6,0.2,1033,237
WV,Huntington,6,0.2,780,171
AL,Huntsville,6,0.2,1409,304
ID,Idaho Falls,6,0.2,466,99
IN,Indianapolis,6,0.2,6221,1331
IA,Iowa City,6,0.2,775,166
MS,Jackson,6,0.2,2201,473
TN,Jackson,6,0.2,723,158
FL,Jacksonville,6,0.2,3717,798
TN,Johnson City,6,0.2,662,144
PA,Johnstown,6,0.2,490,109
IL,Joliet,6,0.2,1424,303
AR,Jonesboro,6,0.2,520,113
MO,Joplin,6,0.2,797,175
MI,Kalamazoo,6,0.2,1451,314
MO,Kansas City,6,0.2,5401,1157
OH,Kettering,6,0.2,940,205
TN,Kingsport,6,0.2,1071,237
TN,Knoxville,6,0.2,3125,684
WI,La Crosse,6,0.2,785,171
IN,Lafayette,6,0.2,546,115
LA,Lafayette,6,0.2,1319,282
LA,Lake Charles,6,0.2,582,124
FL,Lakeland,6,0.2,897,197
PA,Lancaster,6,0.2,1482,322
MI,Lansing,6,0.2,1553,332
NV,Las Vegas,6,0.2,4727,1014
OK,Lawton,6,0.2,423,91
NH,Lebanon,6,0.2,910,201
KY,Lexington,6,0.2,3315,713
NE,Lincoln,6,0.2,1282,277
AR,Little Rock,6,0.2,3399,739
TX,Longview,6,0.2,451,98
CA,Los Angeles,6,0.2,21554,4553
KY,Louisville,6,0.2,3855,831
TX,Lubbock,6,0.2,1501,318
VA,Lynchburg,6,0.2,614,135
GA,Macon,6,0.2,1582,341
WI,Madison,6,0.2,2457,527
NH,Manchester,6,0.2,1992,430
NY,Manhattan,6,0.2,11491,2445
MI,Marquette,6,0.2,453,100
WI,Marshfield,6,0.2,838,185
IA,Mason City,6,0.2,288,64
TX,McAllen,6,0.2,1326,279
OR,Medford,6,0.2,1011,227
IL,Melrose Park,6,0.2,2848,608
TN,Memphis,6,0.2,3773,806
MS,Meridian,6,0.2,416,91
AZ,Mesa,6,0.2,3146,675
LA,Metairie,6,0.2,1025,222
FL,Miami,6,0.2,7612,1636
WI,Milwaukee,6,0.2,5749,1230
MN,Minneapolis,6,0.2,7117,1525
ND,Minot,6,0.2,309,66
MT,Missoula,6,0.2,892,196
AL,Mobile,6,0.2,1815,394
CA,Modesto,6,0.2,1877,400
LA,Monroe,6,0.2,571,123
AL,Montgomery,6,0.2,1000,215
WV,Morgantown,6,0.2,921,200
NJ,Morristown,6,0.2,2214,478
IN,Muncie,6,0.2,361,79
IN,Munster,6,0.2,665,143
MI,Muskegon,6,0.2,589,128
CA,Napa,6,0.2,621,137
TN,Nashville,6,0.2,6303,1346
WI,Neenah,6,0.2,537,116
NJ,New Brunswick,6,0.2,2336,499
CT,New Haven,6,0.2,3291,713
LA,New Orleans,6,0.2,1521,322
NJ,Newark,6,0.2,3376,713
VA,Newport News,6,0.2,1247,269
VA,Norfolk,6,0.2,2814,597
FL,Ocala,6,0.2,1374,328
TX,Odessa,6,0.2,774,163
UT,Ogden,6,0.2,968,203
OK,Oklahoma City,6,0.2,4132,886
WA,Olympia,6,0.2,901,197
NE,Omaha,6,0.2,2808,604
CA,Orange County,6,0.2,7323,1556
FL,Orlando,6,0.2,8836,1937
FL,Ormond Beach,6,0.2,996,229
KY,Owensboro,6,0.2,315,69
MS,Oxford,6,0.2,324,69
KY,Paducah,6,0.2,824,182
CA,Palm Springs/Rancho Mira,6,0.2,895,204
NJ,Paterson,6,0.2,863,186
FL,Pensacola,6,0.2,1779,385
IL,Peoria,6,0.2,1323,290
MI,Petoskey,6,0.2,409,91
PA,Philadelphia,6,0.2,9240,1984
AZ,Phoenix,6,0.2,7669,1649
PA,Pittsburgh,6,0.2,6574,1445
MI,Pontiac,6,0.2,1045,224
ME,Portland,6,0.2,2466,539
OR,Portland,6,0.2,6136,1315
RI,Providence,6,0.2,2744,591
UT,Provo,6,0.2,1174,242
CO,Pueblo,6,0.2,392,86
NC,Raleigh,6,0.2,4575,968
SD,Rapid City,6,0.2,487,106
PA,Reading,6,0.2,1309,285
CA,Redding,6,0.2,781,172
NV,Reno,6,0.2,1697,369
VA,Richmond,6,0.2,3904,837
NJ,Ridgewood,6,0.2,941,202
VA,Roanoke,6,0.2,1605,351
MN,Rochester,6,0.2,902,197
NY,Rochester,6,0.2,2894,626
IL,Rockford,6,0.2,1548,337
GA,Rome,6,0.2,620,134
MI,Royal Oak,6,0.2,1558,338
CA,Sacramento,6,0.2,5771,1242
MI,Saginaw,6,0.2,1398,311
OR,Salem,6,0.2,711,153
CA,Salinas,6,0.2,834,177
MD,Salisbury,6,0.2,1068,239
UT,Salt Lake City,6,0.2,4250,898
TX,San Angelo,6,0.2,352,76
TX,San Antonio,6,0.2,6029,1281
CA,San Bernardino,6,0.2,6562,1379
CA,San Diego,6,0.2,8244,1746
CA,San Francisco,6,0.2,3524,755
CA,San Jose,6,0.2,3987,842
CA,San Luis Obispo,6,0.2,601,131
CA,San Mateo County,6,0.2,1852,398
CA,Santa Barbara,6,0.2,997,214
CA,Santa Cruz,6,0.2,631,134
CA,Santa Rosa,6,0.2,1133,247
FL,Sarasota,6,0.2,1149,275
GA,Savannah,6,0.2,1955,422
PA,Sayre,6,0.2,435,96
PA,Scranton,6,0.2,723,160
WA,Seattle,6,0.2,6667,1419
LA,Shreveport,6,0.2,1484,321
IA,Sioux City,6,0.2,548,119
SD,Sioux Falls,6,0.2,1693,368
LA,Slidell,6,0.2,420,92
IN,South Bend,6,0.2,1504,325
SC,Spartanburg,6,0.2,844,184
WA,Spokane,6,0.2,3385,734
AR,Springdale,6,0.2,1207,257
IL,Springfield,6,0.2,1800,395
MA,Springfield,6,0.2,1677,363
MO,Springfield,6,0.2,1955,432
MN,St. Cloud,6,0.2,563,121
MI,St. Joseph,6,0.2,312,69
MO,St. Louis,6,0.2,7429,1604
MN,St. Paul,6,0.2,2358,502
FL,St. Petersburg,6,0.2,1014,225
CA,Stockton,6,0.2,1276,270
AZ,Sun City,6,0.2,734,177
NY,Syracuse,6,0.2,2320,501
WA,Tacoma,6,0.2,1766,375
MD,Takoma Park,6,0.2,2156,454
FL,Tallahassee,6,0.2,1845,393
FL,Tampa,6,0.2,3241,695
TX,Temple,6,0.2,1114,233
IN,Terre Haute,6,0.2,391,85
AR,Texarkana,6,0.2,558,122
OH,Toledo,6,0.2,2142,463
KS,Topeka,6,0.2,980,211
MI,Traverse City,6,0.2,547,123
AZ,Tucson,6,0.2,2754,607
OK,Tulsa,6,0.2,2983,644
MS,Tupelo,6,0.2,860,185
AL,Tuscaloosa,6,0.2,593,126
TX,Tyler,6,0.2,1233,270
IL,Urbana,6,0.2,1004,216
CA,Ventura,6,0.2,1854,397
TX,Victoria,6,0.2,324,71
TX,Waco,6,0.2,738,160
DC,Washington,6,0.2,6000,1277
IA,Waterloo,6,0.2,471,103
WI,Wausau,6,0.2,428,94
NY,White Plains,6,0.2,2498,539
TX,Wichita Falls,6,0.2,432,94
KS,Wichita,6,0.2,2663,578
PA,Wilkes-Barre,6,0.2,562,124
DE,Wilmington,6,0.2,1766,379
NC,Wilmington,6,0.2,1092,240
VA,Winchester,6,0.2,981,213
NC,Winston-Salem,6,0.2,2530,552
MA,Worcester,6,0.2,1807,387
WA,Yakima,6,0.2,611,131
PA,York,6,0.2,963,210
OH,Youngstown,6,0.2,1408,312
OH,Akron,6,0.4,3058,661
CA,Alameda County,6,0.4,7183,1520
GA,Albany,6,0.4,873,188
NY,Albany,6,0.4,8294,1806
NM,Albuquerque,6,0.4,7481,1623
LA,Alexandria,6,0.4,1236,267
PA,Allentown,6,0.4,5392,1174
PA,Altoona,6,0.4,1332,294
TX,Amarillo,6,0.4,1841,394
AK,Anchorage,6,0.4,2985,621
MI,Ann Arbor,6,0.4,6182,1326
WI,Appleton,6,0.4,1422,308
VA,Arlington,6,0.4,10359,2163
NC,Asheville,6,0.4,3174,709
GA,Atlanta,6,0.4,27497,5801
GA,Augusta,6,0.4,3005,647
IL,Aurora,6,0.4,1331,277
TX,Austin,6,0.4,8247,1717
CA,Bakersfield,6,0.4,4604,964
MD,Baltimore,6,0.4,11171,2397
ME,Bangor,6,0.4,1811,400
LA,Baton Rouge,6,0.4,4106,872
TX,Beaumont,6,0.4,1985,428
OR,Bend,6,0.4,1082,240
MT,Billings,6,0.4,2662,576
NY,Binghamton,6,0.4,1620,356
AL,Birmingham,6,0.4,9915,2147
ND,Bismarck,6,0.4,1023,222
IL,Bloomington,6,0.4,880,186
IL,Blue Island,6,0.4,3740,808
ID,Boise,6,0.4,3894,837
MA,Boston,6,0.4,22360,4813
CO,Boulder,6,0.4,1462,308
FL,Bradenton,6,0.4,1560,356
CT,Bridgeport,6,0.4,2990,642
NY,Bronx,6,0.4,5978,1259
TX,Bryan,6,0.4,1251,261
NY,Buffalo,6,0.4,6119,1332
VT,Burlington,6,0.4,2912,628
NJ,Camden,6,0.4,12430,2715
OH,Canton,6,0.4,2798,614
MO,Cape Girardeau,6,0.4,1143,250
WY,Casper,6,0.4,856,186
IA,Cedar Rapids,6,0.4,1312,284
SC,Charleston,6,0.4,5130,1117
WV,Charleston,6,0.4,3689,813
NC,Charlotte,6,0.4,11152,2374
VA,Charlottesville,6,0.4,2676,581
TN,Chattanooga,6,0.4,3183,692
IL,Chicago,6,0.4,11138,2337
CA,Chico,6,0.4,1352,296
OH,Cincinnati,6,0.4,7175,1541
FL,Clearwater,6,0.4,2536,577
OH,Cleveland,6,0.4,9017,1969
CO,Colorado Springs,6,0.4,3715,793
MO,Columbia,6,0.4,3120,676
SC,Columbia,6,0.4,5424,1167
GA,Columbus,6,0.4,1545,328
OH,Columbus,6,0.4,13307,2847
CA,Contra Costa County,6,0.4,4682,1005
TX,Corpus Christi,6,0.4,2439,523
KY,Covington,6,0.4,1801,383
TX,Dallas,6,0.4,21332,4474
PA,Danville,6,0.4,2692,584
IA,Davenport,6,0.4,2141,469
OH,Dayton,6,0.4,4632,1008
MI,Dearborn,6,0.4,2130,459
CO,Denver,6,0.4,13023,2749
IA,Des Moines,6,0.4,4834,1040
MI,Detroit,6,0.4,7311,1573
AL,Dothan,6,0.4,1636,358
IA,Dubuque,6,0.4,709,155
MN,Duluth,6,0.4,1552,341
NC,Durham,6,0.4,6129,1327
NY,East Long Island,6,0.4,21214,4573
TX,El Paso,6,0.4,4622,984
IL,Elgin,6,0.4,3349,709
NY,Elmira,6,0.4,1440,316
OH,Elyria,6,0.4,1126,246
PA,Erie,6,0.4,3173,697
OR,Eugene,6,0.4,3415,751
IL,Evanston,6,0.4,4019,881
IN,Evansville,6,0.4,2972,648
WA,Everett,6,0.4,3014,648
ND,Fargo/Moorhead MN,6,0.4,2418,525
MI,Flint,6,0.4,2387,518
SC,Florence,6,0.4,1618,353
CO,Fort Collins,6,0.4,1579,334
FL,Fort Lauderdale,6,0.4,13712,3052
FL,Fort Myers,6,0.4,6414,1488
AR,Fort Smith,6,0.4,1587,347
IN,Fort Wayne,6,0.4,3636,786
TX,Fort Worth,6,0.4,9643,2033
CA,Fresno,6,0.4,5023,1060
FL,Gainesville,6,0.4,2596,563
IN,Gary,6,0.4,2192,475
ND,Grand Forks,6,0.4,724,156
CO,Grand Junction,6,0.4,1515,329
MI,Grand Rapids,6,0.4,5166,1105
MT,Great Falls,6,0.4,647,141
CO,Greeley,6,0.4,1632,350
WI,Green Bay,6,0.4,2265,494
NC,Greensboro,6,0.4,2817,608
NC,Greenville,6,0.4,3787,818
SC,Greenville,6,0.4,4157,901
MS,Gulfport,6,0.4,881,188
NJ,Hackensack,6,0.4,5821,1250
TX,Harlingen,6,0.4,2314,495
PA,Harrisburg,6,0.4,4646,1015
CT,Hartford,6,0.4,6683,1447
MS,Hattiesburg,6,0.4,1335,287
NC,Hickory,6,0.4,1292,283
IL,Hinsdale,6,0.4,2126,453
HI,Honolulu,6,0.4,6248,1359
LA,Houma,6,0.4,1141,244
TX,Houston,6,0.4,28694,6007
FL,Hudson,6,0.4,2065,474
WV,Huntington,6,0.4,1561,342
AL,Huntsville,6,0.4,2818,608
ID,Idaho Falls,6,0.4,933,198
IN,Indianapolis,6,0.4,12443,2662
IA,Iowa City,6,0.4,1549,333
MS,Jackson,6,0.4,4403,947
TN,Jackson,6,0.4,1446,317
FL,Jacksonville,6,0.4,7435,1596
TN,Johnson City,6,0.4,1324,289
PA,Johnstown,6,0.4,980,219
IL,Joliet,6,0.4,2848,606
AR,Jonesboro,6,0.4,1040,225
MO,Joplin,6,0.4,1595,349
MI,Kalamazoo,6,0.4,2902,627
MO,Kansas City,6,0.4,10802,2314
OH,Kettering,6,0.4,1879,410
TN,Kingsport,6,0.4,2142,475
TN,Knoxville,6,0.4,6249,1368
WI,La Crosse,6,0.4,1570,342
IN,Lafayette,6,0.4,1092,230
LA,Lafayette,6,0.4,2637,563
LA,Lake Charles,6,0.4,1163,248
FL,Lakeland,6,0.4,1793,394
PA,Lancaster,6,0.4,2964,644
MI,Lansing,6,0.4,3106,664
NV,Las Vegas,6,0.4,9454,2028
OK,Lawton,6,0.4,846,181
NH,Lebanon,6,0.4,1821,402
KY,Lexington,6,0.4,6630,1427
NE,Lincoln,6,0.4,2564,555
AR,Little Rock,6,0.4,6799,1479
TX,Longview,6,0.4,902,195
CA,Los Angeles,6,0.4,43108,9106
KY,Louisville,6,0.4,7710,1661
TX,Lubbock,6,0.4,3002,637
VA,Lynchburg,6,0.4,1228,269
GA,Macon,6,0.4,3163,681
WI,Madison,6,0.4,4913,1053
NH,Manchester,6,0.4,3985,861
NY,Manhattan,6,0.4,22983,4890
MI,Marquette,6,0.4,907,201
WI,Marshfield,6,0.4,1677,370
IA,Mason City,6,0.4,576,129
TX,McAllen,6,0.4,2653,558
OR,Medford,6,0.4,2021,453
IL,Melrose Park,6,0.4,5696,1216
TN,Memphis,6,0.4,7546,1612
MS,Meridian,6,0.4,832,181
AZ,Mesa,6,0.4,6293,1349
LA,Metairie,6,0.4,2049,444
FL,Miami,6,0.4,15224,3273
WI,Milwaukee,6,0.4,11499,2460
MN,Minneapolis,6,0.4,14235,3050
ND,Minot,6,0.4,619,131
MT,Missoula,6,0.4,1785,393
AL,Mobile,6,0.4,3631,787
CA,Modesto,6,0.4,3753,799
LA,Monroe,6,0.4,1142,247
AL,Montgomery,6,0.4,2001,429
WV,Morgantown,6,0.4,1843,400
NJ,Morristown,6,0.4,4428,955
IN,Muncie,6,0.4,723,157
IN,Munster,6,0.4,1330,285
MI,Muskegon,6,0.4,1177,257
CA,Napa,6,0.4,1243,275
TN,Nashville,6,0.4,12607,2692
WI,Neenah,6,0.4,1073,233
NJ,New Brunswick,6,0.4,4672,998
CT,New Haven,6,0.4,6582,1427
LA,New Orleans,6,0.4,3042,644
NJ,Newark,6,0.4,6752,1426
VA,Newport News,6,0.4,2493,538
VA,Norfolk,6,0.4,5627,1195
FL,Ocala,6,0.4,2748,656
TX,Odessa,6,0.4,1547,325
UT,Ogden,6,0.4,1935,405
OK,Oklahoma City,6,0.4,8264,1772
WA,Olympia,6,0.4,1802,394
NE,Omaha,6,0.4,5617,1208
CA,Orange County,6,0.4,14646,3112
FL,Orlando,6,0.4,17673,3873
FL,Ormond Beach,6,0.4,1993,457
KY,Owensboro,6,0.4,631,138
MS,Oxford,6,0.4,648,139
KY,Paducah,6,0.4,1649,364
CA,Palm Springs/Rancho Mira,6,0.4,1789,408
NJ,Paterson,6,0.4,1727,371
FL,Pensacola,6,0.4,3557,770
IL,Peoria,6,0.4,2645,579
MI,Petoskey,6,0.4,818,183
PA,Philadelphia,6,0.4,18480,3968
AZ,Phoenix,6,0.4,15339,3299
PA,Pittsburgh,6,0.4,13149,2890
MI,Pontiac,6,0.4,2090,448
ME,Portland,6,0.4,4932,1078
OR,Portland,6,0.4,12272,2630
RI,Providence,6,0.4,5488,1182
UT,Provo,6,0.4,2347,484
CO,Pueblo,6,0.4,784,172
NC,Raleigh,6,0.4,9151,1935
SD,Rapid City,6,0.4,974,212
PA,Reading,6,0.4,2618,570
CA,Redding,6,0.4,1563,344
NV,Reno,6,0.4,3394,737
VA,Richmond,6,0.4,7809,1674
NJ,Ridgewood,6,0.4,1882,405
VA,Roanoke,6,0.4,3211,702
MN,Rochester,6,0.4,1804,394
NY,Rochester,6,0.4,5788,1252
IL,Rockford,6,0.4,3096,674
GA,Rome,6,0.4,1240,269
MI,Royal Oak,6,0.4,3116,677
CA,Sacramento,6,0.4,11543,2484
MI,Saginaw,6,0.4,2797,621
OR,Salem,6,0.4,1422,307
CA,Salinas,6,0.4,1668,354
MD,Salisbury,6,0.4,2136,478
UT,Salt Lake City,6,0.4,8500,1795
TX,San Angelo,6,0.4,705,153
TX,San Antonio,6,0.4,12058,2563
CA,San Bernardino,6,0.4,13125,2759
CA,San Diego,6,0.4,16487,3492
CA,San Francisco,6,0.4,7047,1510
CA,San Jose,6,0.4,7974,1684
CA,San Luis Obispo,6,0.4,1202,262
CA,San Mateo County,6,0.4,3704,796
CA,Santa Barbara,6,0.4,1993,427
CA,Santa Cruz,6,0.4,1263,268
CA,Santa Rosa,6,0.4,2265,494
FL,Sarasota,6,0.4,2297,550
GA,Savannah,6,0.4,3910,844
